COUNTRY,CURRENCY,CURR CODE,BUDGET RATE
ALBANIA,LEK,ALL,0.00875120
ALGERIA,DINAR,DZD,0.00717023
ANGOLA,KWANZA,AOA,0.00196079
ARGENTINA,PESO,ARS,0.00454545
ARUBA,FLORIN,AWG,0.55865922
AUSTRALIA,DOLLAR,AUD,0.66000000
AZERBAIJAN,AZERBAIJAN,AZN,0.58930992
BAHAMAS,DOLLAR,BSD,1.00000000
BAHRAIN,DINAR,BHD,2.65287173
BANGLADESH,TAKA,BDT,0.00969908
BARBADOS,DOLLAR,BBD,0.50000000
BELARUS,RUBLE,BYR,0.00003958
BELIZE,DOLLAR,BZD,0.50000000
BERMUDA,DOLLAR,BMD,1.00000000
BHUTAN,NGULTRUM,BTN,0.01221784
BOLIVIA,BOLIVIANO,BOB,0.14468221
BOTSWANA,PULA,BWP,0.07680000
BRAZIL,REAL,BRL,0.18867925
BRUNEI DARUSSALAM,DOLLAR,BND,0.72374611
BULGARIA,LEV,BGN,0.52366988
BURUNDI,FRANC,BIF,0.00048652
CAMBODIA,NEW RIEL,KHR,0.00024145
CANADA,CAD DOLLAR,CAD,0.74000000
CAPE VERDE,ESCUDO,CVE,0.00924865
CAYMAN ISLANDS,DOLLAR,KYD,1.21950000
CENTRAL AFRICAN REPUBLIC,FRANC,XAF,0.00156134
CHILE,PESO,CLP,0.00105263
CHINA,YUAN,CNY,0.13956150
COLOMBIA,PESO,COP,0.00020000
COSTA RICA,COLON,CRC,0.00164080
CROATIA,KUNA,HRK,0.13577917
CYPRUS,POUND,CYP,1.74978128
CZECH REPUBLIC,KORUNA,CZK,0.04210597
DENMARK,KRONE,DKK,0.13770311
DJIBOUTI,FRANC,DJF,0.00562068
DOMINICA,DOLLAR,XCD,0.37037037
DOMINICAN REPUBLIC,PESO,DOP,0.01775820
EGYPT,POUND,EGP,0.04081499
EL SALVADOR,COLON,SVC,0.11428571
ETHIOPIA,BIRR,ETB,0.01879095
EURO,EURO,EUR,1.02000000
FIJI,DOLLAR,FJD,0.44340000
FRENCH POLYNESIA,FRANC,XPF,0.00860582
GAMBIA,DALASI,GMD,0.01599744
GHANA,NEW GHANA,GHS,0.06896552
GUATEMALA,QUETZAL,GTQ,0.12837234
GUINEA,GNEA FRANC,GNF,0.00011550
GUYANA,DOLLAR,GYD,0.00477783
HAITI,GOURDE,HTG,0.00756976
HONDURAS,LEMPIRA,HNL,0.04041808
HONG KONG,DOLLAR,HKD,0.12814763
HUNGARY,FORINT,HUF,0.00250507
ICELAND,KRONA,ISK,0.00695314
INDIA,RUPEE,INR,0.01221784
INDONESIA,RUPIAH,IDR,0.00006364
IRAN (ISLAMIC REPUBLIC OF),RIAL,IRR,0.00002381
IRAQ,DINAR,IQD,0.00068493
ISRAEL,SHEQEL,ILS,0.28804332
JAMAICA,DOLLAR,JMD,0.00649813
JAPAN,YEN,JPY,0.00703532
JORDAN,DINAR,JOD,1.40944327
KAZAKHSTAN,TENGE,KZT,0.00215740
KENYA,SHILLING,KES,0.00818934
"KOREA, REPUBLIC OF",WON,KRW,0.00073791
KUWAIT,DINAR,KWD,3.24422528
LAO PEOPLE'S DEMOCRATIC REP,NEW KIP,LAK,0.00005844
LATVIA,LAT,LVL,1.45727984
LEBANON,POUND,LBP,0.00065942
LIBERIA,DOLLAR,LRD,0.00653546
LIBYAN ARAB JAMAHIRIYA,DINAR,LYD,0.20366599
MACAU,PATACA,MOP,0.12441370
MADAGASCAR,MALAGASCY,MGA,0.00023168
MALAWI,KWACHA,MWK,0.00097442
MALAYSIA,RINGGIT,MYR,0.21829295
MALDIVES,RUFIYAA,MVR,0.06480881
MAURITANIA,OUGUIYA,MRO,0.00265501
MAURITIUS,RUPEE,MUR,0.02227226
MEXICO,MEX PESO,MXN,0.04866200
MOROCCO,DIRHAM,MAD,0.09276782
MOZAMBIQUE,NEW MOZAMB,MZN,0.01569856
MYANMAR,KYAT,MMK,0.00047619
NAMIBIA,DOLLAR,NAD,0.05768377
NEPAL,RUPEE,NPR,0.00763811
NETHERLANDS ANTILLES,NA GUILDER,ANG,0.55865922
NEW ZEALAND,DOLLAR,NZD,0.61010000
NICARAGUA,CORDOBA OR,NIO,0.02777963
NIGERIA,NAIRA,NGN,0.00225053
NORWAY,KRONE,NOK,0.09742506
OMAN,RIAL,OMR,2.60078023
PAKISTAN,RUPEE,PKR,0.00445496
PANAMA,BALBOA,PAB,1.00000000
PAPUA NEW GUINEA,KINA,PGK,0.28410000
PARAGUAY,GUARANI,PYG,0.00013908
PERU,NEW SOL,PEN,0.25000000
PERU,SOL,PES,0.00510856
PHILIPPINES,PESO,PHP,0.01743679
POLAND,ZLOTY,PLN,0.21805020
QATAR,RIYAL,QAR,0.27272479
ROMANIA,NEW ROMANI,RON,0.20738713
RUSSIAN FEDERATION,RUBLE,RUB,0.01633208
RWANDA,FRANC,RWF,0.00094435
SAMOA,TALA,WST,0.36400000
SAO TOME AND PRINCIPE,DOBRA,STD,0.00004239
SAUDI ARABIA,RIYAL,SAR,0.26609899
SERBIA,SERBIAN DI,RSD,0.00872817
SEYCHELLES,RUPEE,SCR,0.07145358
SIERRA LEONE,LEONE,SLL,0.00005528
SINGAPORE,DOLLAR,SGD,0.72374611
SOLOMON ISLANDS,DOLLAR,SBD,0.12130000
SOMALIA,SHILLING,SOS,0.00175855
SOUTH AFRICA,RAND,ZAR,0.05768377
SRI LANKA,RUPEE,LKR,0.00272087
SUDAN,NEW SUDANE,SDG,0.00174420
SURINAME,SURINAME D,SRD,0.03267056
SWAZILAND,PL,SZL,0.05768377
SWEDEN,KRONA,SEK,0.09335761
SWITZERLAND,FRANC,CHF,1.04329682
SYRIAN ARAB REPUBLIC,POUND,SYP,0.00195010
"TAIWAN, PROVINCE OF CHINA",NEW DOLLAR,TWD,0.03205539
"TANZANIA, UNITED REPUBLIC OF",SHILLING,TZS,0.00042941
THAILAND,BAHT,THB,0.02754897
TOGO,FRANC,XOF,0.00156134
TONGA,PAANGA,TOP,0.42210000
TRINIDAD AND TOBAGO,DOLLAR,TTD,0.14768649
TUNISIA,DINAR,TND,0.30949212
TURKEY,NEW TURKIS,TRY,0.05370310
UGANDA,SHILLING,UGX,0.00026710
UKRAINE,HRYVNIA,UAH,0.02707664
UNITED ARAB EMIRATES,DIRHAM,AED,0.27225701
