Client;Country;Currency;Transaction;Date
BCEEI;INDIA;CVE;421763.6283328798;2024-01-11
BCEEI;QATAR;DJF;2367493.672023012;2024-01-11
BCEEI;VANUATU;LRD;1792954.8375407793;2024-01-11
BCEEI;ALBANIA;HKD;47407.88098909644;2024-01-11
BCEEI;BAHAMAS;SRD;222001.83042047312;2024-01-11
BCEEI;MADAGASCAR;MUR;18218.53191666013;2024-01-11
BCEEI;LIBERIA;AED;18326.0284537486;2024-01-11
AKWWb;LEBANON;PKR;1582515.6350314305;2024-01-11
AKWWb;HONDURAS;PKR;1315765.8404901477;2024-01-11
AKWWb;UKRAINE;GHS;155468.14834097904;2024-01-11
AKWWb;INDONESIA;ZAR;96814.45589031585;2024-01-11
DJW11;PHILIPPINES;HTG;49164.7721289668;2024-01-11
BDEN2;MADAGASCAR;PES;76684.40321269855;2024-01-11
BDEN2;OMAN;SAR;2169.005881707337;2024-01-11
BDEN2;EGYPT;TND;356.06851491508405;2024-01-11
BDEN2;MALAWI;MRO;201580.18047967937;2024-01-11
BDEN2;POLAND;CVE;12550.280106987011;2024-01-11
BDEN2;JAPAN;XPF;12343.699713668911;2024-01-11
BDEN2;SWEDEN;XOF;42093.94850586618;2024-01-11
BDEN2;UGANDA;HUF;52437.483651479015;2024-01-11
BDEN2;THAILAND;CLP;200930.34807615937;2024-01-11
BDEN2;BELARUS;MMK;537564.3047556217;2024-01-11
BDEN2;INDONESIA;NGN;65506.01937122589;2024-01-11
BDEN2;NEPAL;BRL;2776.5836338254644;2024-01-11
ADDVV;MOROCCO;ANG;7161.626666906602;2024-01-11
ADDVV;LIBERIA;ETB;117687.02516756686;2024-01-11
ADDVV;SWAZILAND;CZK;103843.85628096596;2024-01-11
ADDVV;NIGERIA;THB;76360.72249386836;2024-01-11
ADDVV;CHILE;MVR;60663.54498810512;2024-01-11
ADDVV;KUWAIT;DKK;21589.008389632894;2024-01-11
ADDVV;TOGO;IDR;75282831.2133788;2024-01-11
ADDVV;UNITED ARAB EMIRATES;ZWL;986507.825405852;2024-01-11
ADDVV;JAPAN;MZN;120197.58675766496;2024-01-11
ADDVV;ZAMBIA;JMD;122205.02413006878;2024-01-11
ADDVV;PAPUA NEW GUINEA;CAD;855.3917097562274;2024-01-11
ADDVV;ALGERIA;ISK;337593.866491405;2024-01-11
ADDVV;SWEDEN;XCD;6808.4252364612885;2024-01-11
ADDVV;COSTA RICA;UYU;226523.70222199793;2024-01-11
ADDVV;EGYPT;MAD;50069.005396515095;2024-01-11
ADDVV;LIBYAN ARAB JAMAHIRIYA;NAD;46239.56637676122;2024-01-11
ADDVV;HUNGARY;XCD;1470.669389412966;2024-01-11
ADDVV;BHUTAN;ARS;1061463.142514828;2024-01-11
ADDVV;BANGLADESH;AOA;506751.63963858417;2024-01-11
GIJXX;MAURITIUS;XOF;1929018.5137685065;2024-01-11
GIJXX;CZECH REPUBLIC;CLP;2849123.763611366;2024-01-11
GIJXX;NEPAL;AUD;2971.4429574169435;2024-01-11
GIJXX;CAPE VERDE;NPR;348612.55839723564;2024-01-11
GIJXX;KAZAKHSTAN;CNY;1607.416777598205;2024-01-11
GIJXX;SAUDI ARABIA;MRO;716492.3062786228;2024-01-11
CJWZa;NIGERIA;PES;124421.68070546987;2024-01-11
CJWZa;PERU;JMD;40927.44787449158;2024-01-11
CJWZa;RUSSIAN FEDERATION;CHF;1668.8397129918387;2024-01-11
CJWZa;CZECH REPUBLIC;ALL;53397.09811687731;2024-01-11
CIKVa;HAITI;SOS;18974.886584516826;2024-01-11
CIKVa;UKRAINE;SLL;125968.64270118628;2024-01-11
CIKVa;JORDAN;HTG;1017.705123631198;2024-01-11
CIKVa;CYPRUS;JPY;5121.622524228591;2024-01-11
CIKVa;SOLOMON ISLANDS;JMD;4497.2701828024965;2024-01-11
CIKVa;QATAR;JMD;3442.700229425785;2024-01-11
CIKVa;ICELAND;IQD;11745.857828108949;2024-01-11
CIKVa;COSTA RICA;MGA;137962.5618557948;2024-01-11
CIKVa;BOTSWANA;SOS;12870.05458296266;2024-01-11
CIKVa;BERMUDA;ZAR;225.4554677059695;2024-01-11
CIKVa;NETHERLANDS ANTILLES;LYD;69.49198306752207;2024-01-11
CIKVa;LATVIA;BGN;75.9342242763867;2024-01-11
CIKVa;DOMINICAN REPUBLIC;EUR;2.976766016049026;2024-01-11
CIKVa;PERU;SOS;8978.287196340187;2024-01-11
CIKVa;PERU;FJD;79.22420345351382;2024-01-11
BKW33;COLOMBIA;CZK;738086.7974594902;2024-01-11
BKW33;DJIBOUTI;ILS;113596.60431398096;2024-01-11
BKW33;SYRIAN ARAB REPUBLIC;BND;429.07983583868474;2024-01-11
BKW33;ZIMBABWE;LRD;4837017.024305007;2024-01-11
BKW33;PHILIPPINES;SGD;4636.830484063206;2024-01-11
BKW33;CAMBODIA;SBD;9662.460139329132;2024-01-11
BKW33;BOTSWANA;TZS;14440464.0440558;2024-01-11
BKW33;SUDAN;DZD;1452059.537759683;2024-01-11
BKW33;LIBYAN ARAB JAMAHIRIYA;BGN;29638.07030347792;2024-01-11
BKW33;GHANA;MUR;695656.8925978726;2024-01-11
BKW33;BOLIVIA;QAR;116487.66255803467;2024-01-11
BKW33;CYPRUS;SGD;36282.621817585125;2024-01-11
BKW33;KOREA, REPUBLIC OF;BZD;43890.34050556638;2024-01-11
BKW33;CAPE VERDE;PES;3051221.5889719855;2024-01-11
BKW33;SWAZILAND;LRD;3413553.47410814;2024-01-11
BKW33;SURINAME;FJD;73335.70665616941;2024-01-11
BKW33;BAHAMAS;MMK;33848422.05618033;2024-01-11
BKW33;SAO TOME AND PRINCIPE;CRC;166878.19926255688;2024-01-11
BIJKL;BULGARIA;UYU;578696.847327165;2024-01-11
BIJKL;BURUNDI;STD;234620048.845307;2024-01-11
BIJKL;ARUBA;PGK;14011.387848145774;2024-01-11
BIJKL;RWANDA;PLN;5361.837382195227;2024-01-11
BIJKL;GUINEA;SDG;8476365.473233003;2024-01-11
BIJKL;SURINAME;ARS;3769674.021870055;2024-01-11
BIJKL;ANGOLA;BYR;206335988.5668905;2024-01-11
BIJKL;JORDAN;CYP;5074.926599653866;2024-01-11
BIJKL;GAMBIA;CVE;1210913.4267605906;2024-01-11
BIJKL;TAIWAN, PROVINCE OF CHINA;UAH;383319.7181225514;2024-01-11
BIJKL;TUNISIA;LKR;5480065.016151092;2024-01-11
BIJKL;AUSTRALIA;PKR;3146927.20523117;2024-01-11
BIJKL;MACAU;TOP;25055.397017205993;2024-01-11
BIJKL;EGYPT;KES;978898.567042474;2024-01-11
BIJKL;SIERRA LEONE;JPY;228777.60819291536;2024-01-11
BJLMM;PAPUA NEW GUINEA;VES;117980.4657610712;2024-01-11
BJLMM;LEBANON;SRD;186955.2553381111;2024-01-11
BJLMM;NORWAY;DZD;871823.5791155859;2024-01-11
BJLMM;DOMINICAN REPUBLIC;MGA;24682499.63028744;2024-01-11
BJLMM;CANADA;GYD;2507599.3443459906;2024-01-11
BJLMM;NEPAL;TND;4425.500971251947;2024-01-11
BJLMM;URUGUAY;BTN;768913.9427114862;2024-01-11
BJLMM;NEPAL;ZWL;9066291.917484649;2024-01-11
BJLMM;ISRAEL;SDG;8334319.071109318;2024-01-11
BJLMM;CYPRUS;BBD;31622.83672216449;2024-01-11
BJLMM;VIET NAM;LVL;6076.592389115623;2024-01-11
BJLMM;FRENCH POLYNESIA;HKD;107170.10179290862;2024-01-11
BJLMM;FRENCH POLYNESIA;GYD;3068137.4030498764;2024-01-11
BJLMM;MAURITIUS;KRW;20009572.777418528;2024-01-11
BJLMM;TONGA;XPF;443987.6937697231;2024-01-11
BJLMM;SRI LANKA;JMD;1060573.432244568;2024-01-11
AAHYa;BULGARIA;TND;823.2804992212314;2024-01-11
BCHXW;DENMARK;MUR;375201.0069131307;2024-01-11
BCHXW;KOREA, REPUBLIC OF;BSD;5.998976581644684;2024-01-11
BCHXW;CYPRUS;UGX;32577744.40911874;2024-01-11
BCHXW;PANAMA;QAR;15859.438796765844;2024-01-11
BCHXW;MOZAMBIQUE;VUV;3111772.8105360093;2024-01-11
BCHXW;KOREA, REPUBLIC OF;CLP;4878375.073756068;2024-01-11
BCHXW;EL SALVADOR;NGN;1127541.9985673155;2024-01-11
BCHXW;CROATIA;PEN;44236.4533130479;2024-01-11
BCHXW;KOREA, REPUBLIC OF;KES;3549863.666015838;2024-01-11
BCHXW;NEPAL;BSD;860.8531394660122;2024-01-11
BCHXW;ARGENTINA;SBD;229474.4545657983;2024-01-11
BCHXW;SINGAPORE;OMR;3899.318286985879;2024-01-11
BCHXW;CENTRAL AFRICAN REPUBLIC;CLP;20203083.687459417;2024-01-11
BCHXW;LIBERIA;MXN;63919.88322680467;2024-01-11
BCHXW;INDIA;SOS;4422776.229337996;2024-01-11
GHJNc;BURUNDI;MXN;71387.63480127568;2024-01-11
GHJNc;UNITED ARAB EMIRATES;HTG;554025.7140268802;2024-01-11
GHJNc;SOUTH AFRICA;LYD;19378.06434453076;2024-01-11
GHJNc;BULGARIA;XCD;9510.30051878743;2024-01-11
GHJNc;DENMARK;ETB;166063.24400290495;2024-01-11
GHJNc;INDONESIA;MAD;20599.58177642109;2024-01-11
GHJNc;COSTA RICA;AOA;1385153.420252607;2024-01-11
GHJNc;SWAZILAND;BOB;4397.6270096279795;2024-01-11
GHJNc;DOMINICA;SYP;130372.28065706875;2024-01-11
GHJNc;URUGUAY;XPF;364701.053859798;2024-01-11
GHJNc;CYPRUS;CVE;121486.54127878048;2024-01-11
GHJNc;KENYA;UYU;166104.85247715798;2024-01-11
GHJNc;TRINIDAD AND TOBAGO;NPR;540414.8886940386;2024-01-11
GHJNc;BAHAMAS;SAR;15800.197591042355;2024-01-11
GHJNc;DENMARK;KZT;933365.7443492856;2024-01-11
GHJNc;MOROCCO;SZL;63239.81315125815;2024-01-11
GHJNc;UNITED KINGDOM;NOK;42015.67684174473;2024-01-11
DEJYa;UGANDA;TWD;1245.0218208596998;2024-01-11
DEJYa;BHUTAN;ZWL;19565.511783133905;2024-01-11
