Client;Country;Currency;Transaction;Date
FWYYa;NEPAL;TOP;1496.320993996913;2024-02-25
FWYYa;HONG KONG;XAF;1839686.443626217;2024-02-25
FWYYa;LEBANON;BIF;10639330.0186107;2024-02-25
FWYYa;HONDURAS;NAD;57827.84552667927;2024-02-25
FWYYa;BARBADOS;NZD;10407.95160635332;2024-02-25
FWYYa;UGANDA;COP;20542169.63761698;2024-02-25
FWYYa;RUSSIAN FEDERATION;NZD;11005.07447094859;2024-02-25
FWYYa;MYANMAR;BGN;5311.494082428112;2024-02-25
FWYYa;LATVIA;MAD;66972.0709526254;2024-02-25
FWYYa;MALDIVES;RWF;6356991.795649586;2024-02-25
FWYYa;THAILAND;INR;116882.1272578158;2024-02-25
FWYYa;LEBANON;PYG;4468083.000816356;2024-02-25
FWYYa;BAHAMAS;VES;35327.37234933895;2024-02-25
FWYYa;JORDAN;MVR;89363.80963823409;2024-02-25
FWYYa;UNITED KINGDOM;MMK;10163499.60236998;2024-02-25
FWYYa;CAPE VERDE;SLL;104276879.0199046;2024-02-25
GMaa1;EGYPT;LRD;319456.0751849972;2024-02-25
GMaa1;ZIMBABWE;LBP;3749057.702887521;2024-02-25
GMaa1;RWANDA;GTQ;18546.50610738949;2024-02-25
GMaa1;TURKEY;HRK;17099.02618316678;2024-02-25
GMaa1;BRAZIL;EGP;55713.42620477067;2024-02-25
GMaa1;NEPAL;JMD;472032.9889089395;2024-02-25
GMaa1;ZAMBIA;IDR;34334062.28399102;2024-02-25
GMaa1;ISRAEL;GBP;2754.842560041495;2024-02-25
GMaa1;SRI LANKA;SOS;1040837.564603042;2024-02-25
AAKWW;PERU;STD;232165339.613801;2024-02-25
AAKWW;ZIMBABWE;BTN;141949.8793605499;2024-02-25
AAKWW;CANADA;AZN;128.1940513155396;2024-02-25
AAKWW;CAMBODIA;ILS;29131.05238692737;2024-02-25
AAKWW;CAYMAN ISLANDS;GTQ;50744.77811874956;2024-02-25
AAKWW;NORWAY;RON;34085.76794246029;2024-02-25
AAKWW;SURINAME;CYP;5620.710133875216;2024-02-25
AAKWW;BELARUS;RWF;227422.6293054492;2024-02-25
AAKWW;YEMEN;NIO;110138.7620379422;2024-02-25
AAKWW;IRAN (ISLAMIC REPUBLIC OF);MMK;12331390.17581253;2024-02-25
AAKWW;INDONESIA;KWD;2955.365030703774;2024-02-25
AAKWW;ISRAEL;XAF;651820.1639626222;2024-02-25
AAKWW;DOMINICAN REPUBLIC;GBP;4118.447404866102;2024-02-25
AAKWW;MYANMAR;HNL;230862.3629675471;2024-02-25
AAKWW;KOREA, REPUBLIC OF;GYD;1236933.44067972;2024-02-25
AAKWW;NORWAY;NPR;859075.3450066985;2024-02-25
AAKWW;DOMINICA;UAH;23516.39927780106;2024-02-25
AAKWW;NIGERIA;BOB;7750.219418734612;2024-02-25
DNNY3;MOZAMBIQUE;KZT;-18123.80084244673;2024-02-25
DNNY3;JAMAICA;MUR;439160.0768528699;2024-02-25
DNNY3;MOZAMBIQUE;ZMW;227661.0129318886;2024-02-25
DNNY3;CENTRAL AFRICAN REPUBLIC;BIF;4120368.505736206;2024-02-25
DNNY3;BAHRAIN;HUF;5408932.136654956;2024-02-25
DNNY3;BOTSWANA;QAR;17060.9142812498;2024-02-25
DNNY3;BULGARIA;NIO;290110.8073364899;2024-02-25
AAFLb;SAUDI ARABIA;RON;42724.87540013302;2024-02-25
AAFLb;UNITED KINGDOM;FJD;3369.287468259879;2024-02-25
AAFLb;QATAR;ZAR;106857.2548406827;2024-02-25
AAFLb;DJIBOUTI;NZD;5986.877219771298;2024-02-25
AAFLb;ROMANIA;TRY;13874.05877519443;2024-02-25
AAFLb;MYANMAR;XCD;13729.70578979921;2024-02-25
AAFLb;IRAN (ISLAMIC REPUBLIC OF);UYU;26630.72253422315;2024-02-25
AAFLb;TUNISIA;BSD;9113.99211985276;2024-02-25
AAFLb;SUDAN;CYP;1287.706668978428;2024-02-25
AAFLb;PHILIPPINES;ALL;721315.7034980843;2024-02-25
AAFLb;BARBADOS;JMD;454568.4590178367;2024-02-25
