Client;Country;Currency;Transaction;Date
GN233;CAMBODIA;BSD;288.2941205071958;2024-03-05
GN233;TAIWAN, PROVINCE OF CHINA;OMR;335.6192987197177;2024-03-05
GN233;BHUTAN;AOA;446295.315252081;2024-03-05
GN233;GUYANA;MWK;727470.4500001363;2024-03-05
GN233;LIBERIA;PYG;2564353.122095112;2024-03-05
GN233;KOREA, REPUBLIC OF;THB;29976.50098194463;2024-03-05
GN233;SAUDI ARABIA;KES;91992.73801446642;2024-03-05
EKM13;BAHRAIN;QAR;6251.04435520182;2024-03-05
EKM13;INDONESIA;SZL;57006.27213843859;2024-03-05
LMMNN;MOZAMBIQUE;HRK;15445.00401358124;2024-03-05
LMMNN;TURKEY;SEK;39859.25416178803;2024-03-05
LMMNN;LATVIA;SOS;452335.98765672;2024-03-05
LMMNN;JAMAICA;TTD;59287.99675373676;2024-03-05
LMMNN;GUYANA;UYU;301101.584136941;2024-03-05
LMMNN;CAYMAN ISLANDS;TRY;279746.6236750534;2024-03-05
LMMNN;MOZAMBIQUE;JMD;1764323.428089512;2024-03-05
LMMNN;BELARUS;XOF;7115207.780395715;2024-03-05
LMMNN;VIET NAM;ISK;836783.7452629767;2024-03-05
FIMN3;BOTSWANA;KZT;265088.8414888063;2024-03-05
FIMN3;BOLIVIA;CYP;349.2118134911848;2024-03-05
FIMN3;DJIBOUTI;AUD;7113.364772725805;2024-03-05
FIMN3;ALBANIA;NZD;4787.944851673302;2024-03-05
FIMN3;PERU;SYP;2988809.934842216;2024-03-05
FIMN3;ISRAEL;ZWL;4230277.948267306;2024-03-05
FIMN3;BRUNEI DARUSSALAM;SEK;44939.05294391859;2024-03-05
LNc23;KENYA;GBP;3347.861962440043;2024-03-05
LNc23;PAPUA NEW GUINEA;SZL;143040.2485016736;2024-03-05
LNc23;SERBIA;CNY;20004.82888276953;2024-03-05
LNc23;DOMINICAN REPUBLIC;SAR;14443.397401931;2024-03-05
LNc23;TONGA;SLL;96054082.09284262;2024-03-05
LNc23;MACAU;AUD;12521.95265480377;2024-03-05
LNc23;CHILE;ZWL;6195181.994265199;2024-03-05
LNc23;TAIWAN, PROVINCE OF CHINA;TND;9357.00092291185;2024-03-05
LNc23;JORDAN;XAF;2928575.57490153;2024-03-05
LNc23;MEXICO;KRW;1257454.695668102;2024-03-05
LNc23;DOMINICA;CAD;12422.13127925802;2024-03-05
LNc23;AZERBAIJAN;AZN;10654.75321708354;2024-03-05
LNc23;TRINIDAD AND TOBAGO;KZT;2085080.886245078;2024-03-05
HHIXX;CYPRUS;RON;31196.26798915445;2024-03-05
HHIXX;CAMBODIA;BZD;17797.20071682112;2024-03-05
HHIXX;OMAN;LAK;68406981.17511943;2024-03-05
BKKNN;IRAN (ISLAMIC REPUBLIC OF);SEK;62247.71685833842;2024-03-05
BKKNN;LATVIA;JPY;3180390.970905104;2024-03-05
CFNNX;BULGARIA;MWK;1483024.389764549;2024-03-05
CFNNX;RWANDA;XOF;892252.9649483997;2024-03-05
CFNNX;ISRAEL;PLN;7464.726451318997;2024-03-05
CFNNX;DJIBOUTI;GTQ;4942.612457602147;2024-03-05
CFNNX;KUWAIT;SRD;62315.87786898611;2024-03-05
CFNNX;SWAZILAND;SDG;301732.0912258391;2024-03-05
