Client;Country;Currency;Transaction;Date
GGZa3;HONG KONG;SAR;6949.241530926595;2024-04-16
GGZa3;FRENCH POLYNESIA;NPR;305176.6737369076;2024-04-16
GGZa3;SWITZERLAND;CLP;1931817.717862363;2024-04-16
GGZa3;GAMBIA;ILS;11766.50368316889;2024-04-16
GGZa3;GUINEA;RWF;643425.6839202326;2024-04-16
GGZa3;ROMANIA;BDT;34232.02874102921;2024-04-16
GGZa3;MALDIVES;TWD;104547.4089181537;2024-04-16
GGZa3;JORDAN;MWK;1944050.423300045;2024-04-16
GGZa3;CAPE VERDE;GMD;144298.4173107326;2024-04-16
GGZa3;HUNGARY;GBP;1869.053173666798;2024-04-16
GGZa3;INDIA;SEK;31476.72747884916;2024-04-16
GGZa3;NEPAL;LKR;223066.5831118318;2024-04-16
GGZa3;BERMUDA;IDR;37401189.3144958;2024-04-16
GGZa3;SEYCHELLES;TOP;5212.873052090636;2024-04-16
GGZa3;DOMINICAN REPUBLIC;MMK;1670936.94684918;2024-04-16
GGZa3;NETHERLANDS ANTILLES;BDT;159808.2248023537;2024-04-16
GGZa3;COLOMBIA;BND;4711.291511120735;2024-04-16
GGZa3;CYPRUS;NGN;197516.0971319086;2024-04-16
GGZa3;MADAGASCAR;MGA;3666122.704932643;2024-04-16
GGZa3;SOUTH AFRICA;MYR;7058.223839410097;2024-04-16
BCE33;CROATIA;SEK;357738.2724155528;2024-04-16
BCE33;TANZANIA, UNITED REPUBLIC OF;RSD;3241741.030326336;2024-04-16
BCE33;BERMUDA;NAD;559584.3491568696;2024-04-16
BCE33;VENEZUELA;LRD;4314860.548600443;2024-04-16
BCE33;RUSSIAN FEDERATION;COP;84057255.75387363;2024-04-16
BCE33;LIBERIA;MXN;223384.2553350297;2024-04-16
BCE33;BRUNEI DARUSSALAM;BOB;103928.6281401592;2024-04-16
BCE33;SOLOMON ISLANDS;LBP;38867867.31100118;2024-04-16
BCE33;AZERBAIJAN;THB;930208.8686763704;2024-04-16
BCE33;ALBANIA;KZT;10773491.46577205;2024-04-16
BCE33;JORDAN;PES;2844374.814131873;2024-04-16
BCE33;GAMBIA;MRO;7539409.910400654;2024-04-16
BCE33;GUATEMALA;PAB;28994.12043050379;2024-04-16
BCE33;BANGLADESH;AZN;12865.14458458688;2024-04-16
CCMa3;MALAYSIA;BZD;14547.88168832434;2024-04-16
CCMa3;GUINEA;UGX;35654502.41157321;2024-04-16
CCMa3;VANUATU;UAH;465559.8642995872;2024-04-16
CCMa3;ALBANIA;SVC;33508.47639954924;2024-04-16
CCMa3;HONDURAS;SVC;52449.60874380227;2024-04-16
CCMa3;OMAN;HNL;222948.8490771641;2024-04-16
CCMa3;SINGAPORE;GBP;5481.485745965114;2024-04-16
CCMa3;CYPRUS;TRY;49209.64319206685;2024-04-16
CCMa3;POLAND;HTG;147223.3348824889;2024-04-16
CCMa3;BOLIVIA;ILS;2029.33882235225;2024-04-16
CCMa3;ALGERIA;CVE;1351764.902665905;2024-04-16
CCMa3;TRINIDAD AND TOBAGO;TZS;12384896.90946649;2024-04-16
CCMa3;SUDAN;CNY;61064.32542170803;2024-04-16
CCMa3;MACAU;ALL;1262396.636640602;2024-04-16
CCMa3;SIERRA LEONE;BND;4162.822260960152;2024-04-16
CCMa3;MALAWI;BMD;7743.756024483569;2024-04-16
CCMa3;GUYANA;JPY;1321224.722256671;2024-04-16
CCMa3;ISRAEL;INR;411359.9323609076;2024-04-16
CCMa3;MALDIVES;CHF;-82.47100149828215;2024-04-16
FGJNY;INDIA;XOF;79428.9547294063;2024-04-16
FGJNY;BARBADOS;SZL;19811.19498699285;2024-04-16
FGJNY;ALGERIA;MRO;8818.951504702247;2024-04-16
FGJNY;THAILAND;VES;6899.013207061143;2024-04-16
FGJNY;NETHERLANDS ANTILLES;SYP;533431.8606722057;2024-04-16
FGJNY;LIBERIA;GBP;506.3313641592531;2024-04-16
FGJNY;HONG KONG;SCR;16752.71192685347;2024-04-16
FGJNY;HONG KONG;CVE;63762.82316303925;2024-04-16
FGJNY;OMAN;SRD;22746.00598078615;2024-04-16
FGJNY;BELIZE;EGP;20549.31569771056;2024-04-16
FGJNY;BRUNEI DARUSSALAM;BWP;8990.66032344827;2024-04-16
FGJNY;FIJI;SGD;1446.901114952565;2024-04-16
FGJNY;JAMAICA;UGX;1278649.747065324;2024-04-16
FGJNY;COLOMBIA;SVC;8262.862895466602;2024-04-16
FGJNY;CHILE;BRL;7368.755109295029;2024-04-16
FGJNY;VENEZUELA;MZN;91372.38442588506;2024-04-16
FGJNY;AUSTRALIA;JPY;165786.3889831053;2024-04-16
FGJNY;IRAN (ISLAMIC REPUBLIC OF);AOA;795126.6469306366;2024-04-16
FGJNY;COLOMBIA;GTQ;7088.2263260141;2024-04-16
FGJNY;HONG KONG;NPR;178241.2807458511;2024-04-16
AHJZ2;SWAZILAND;GMD;63446.74529930137;2024-04-16
AHJZ2;BELIZE;NPR;-2654.737863504743;2024-04-16
AHJZ2;SERBIA;AWG;5050.542300158874;2024-04-16
CXab2;MACAU;LVL;281.748496180039;2024-04-16
CXab2;ZAMBIA;ARS;235108.2225348159;2024-04-16
CXab2;ANGOLA;PES;97986.71363959942;2024-04-16
CXab2;NIGERIA;XAF;580005.7194085176;2024-04-16
CXab2;THAILAND;TOP;3685.308499439829;2024-04-16
CXab2;LIBYAN ARAB JAMAHIRIYA;MUR;18374.23729178354;2024-04-16
CXab2;TONGA;RON;4855.084872578533;2024-04-16
CXab2;GHANA;DZD;143957.1833194714;2024-04-16
CXab2;MALDIVES;VES;1671.383629733154;2024-04-16
CXab2;BANGLADESH;KZT;628619.8426402197;2024-04-16
CXab2;EURO;AED;4111.264808077744;2024-04-16
CXab2;KAZAKHSTAN;ETB;32137.43388565658;2024-04-16
CXab2;MEXICO;AZN;1089.490798497454;2024-04-16
CXab2;MALAYSIA;MYR;1395.977727628363;2024-04-16
CXab2;VANUATU;VND;11151698.00733493;2024-04-16
CXab2;INDONESIA;IRR;12940303.62122069;2024-04-16
CXab2;ZIMBABWE;VUV;78691.99628357268;2024-04-16
BHNVY;GAMBIA;MMK;7012492.79120308;2024-04-16
BHNVY;ISRAEL;RSD;347212.8173236625;2024-04-16
BHNVY;EL SALVADOR;SOS;722405.2725969972;2024-04-16
BHNVY;SERBIA;ANG;4879.182846060977;2024-04-16
BHNVY;JORDAN;KES;369077.8046066908;2024-04-16
BHNVY;SWITZERLAND;RUB;155815.182019189;2024-04-16
BHNVY;BRAZIL;ZAR;8452.485342398822;2024-04-16
BHNVY;SEYCHELLES;ARS;285908.2540975444;2024-04-16
BHNVY;CENTRAL AFRICAN REPUBLIC;LBP;3015687.234382338;2024-04-16
