Client;Country;Currency;Transaction;Date
FFJXa;QATAR;HRK;57760.844784957626;2024-05-07
FFJXa;ROMANIA;MOP;28338.7198714365;2024-05-07
FFJXa;BHUTAN;BYR;268799318.323884;2024-05-07
FFJXa;JAPAN;GMD;1355165.052283237;2024-05-07
FFJXa;TAIWAN, PROVINCE OF CHINA;AUD;25001.41097481734;2024-05-07
FFJXa;SWEDEN;NIO;888229.6906414713;2024-05-07
FFJXa;SRI LANKA;NAD;282559.1454767569;2024-05-07
FFJXa;TAIWAN, PROVINCE OF CHINA;SYP;2491136.141151672;2024-05-07
FFJXa;JORDAN;ZAR;114124.7803560349;2024-05-07
FFJXa;YEMEN;PHP;176269.31032794615;2024-05-07
FFJXa;SEYCHELLES;XPF;587953.1611353168;2024-05-07
FFJXa;MAURITIUS;MYR;58292.79731835795;2024-05-07
FFJXa;NICARAGUA;IRR;323283676.38400596;2024-05-07
BE123;CZECH REPUBLIC;TWD;17965.825153614573;2024-05-07
BE123;VANUATU;MXN;46748.4933389271;2024-05-07
MVXXW;ZAMBIA;PHP;180897.17692310453;2024-05-07
MVXXW;SIERRA LEONE;AED;10310.646893399107;2024-05-07
MVXXW;THAILAND;BMD;1399.422597068682;2024-05-07
MVXXW;LIBERIA;KES;443541.35469588434;2024-05-07
ABCLN;ALBANIA;NGN;23982975.80507575;2024-05-07
ABCLN;SERBIA;TND;33303.87060556451;2024-05-07
ABCLN;QATAR;VUV;9870801.584050547;2024-05-07
ABCLN;CHILE;HKD;484066.4944816601;2024-05-07
ABCLN;ISRAEL;ANG;37995.28992759564;2024-05-07
ABCLN;CHINA;GMD;2726101.3477071794;2024-05-07
ABCLN;UNITED KINGDOM;BGN;15027.227781238702;2024-05-07
ABCLN;TOGO;MGA;-1381403.5246590425;2024-05-07
ABCLN;EL SALVADOR;SZL;761904.3000262975;2024-05-07
ABCLN;CYPRUS;CZK;438840.61008875014;2024-05-07
ABCLN;ZAMBIA;BHD;8980.615043875056;2024-05-07
ABCLN;SIERRA LEONE;SEK;321338.3250977276;2024-05-07
ABCLN;BOLIVIA;JMD;1470306.353845609;2024-05-07
ABCLN;ALBANIA;BHD;8916.746584455952;2024-05-07
ABCLN;MACAU;THB;2258190.4843193595;2024-05-07
ABCLN;CAMBODIA;CVE;6304099.275109103;2024-05-07
ABCLN;MYANMAR;MWK;49092896.757578306;2024-05-07
ABCLN;BOTSWANA;ALL;9389167.167152733;2024-05-07
BKNbc;CHILE;XPF;9208.758912542138;2024-05-07
BKNbc;CROATIA;OMR;21.198146024968505;2024-05-07
BKNbc;ARGENTINA;PLN;294.2140997119919;2024-05-07
BKNbc;CHILE;KES;3794.038148906269;2024-05-07
BKNbc;DOMINICAN REPUBLIC;WST;-0.8484476833327933;2024-05-07
BKNbc;QATAR;KHR;156668.47331655826;2024-05-07
BKNbc;RUSSIAN FEDERATION;LKR;34234.08493523195;2024-05-07
BKNbc;COLOMBIA;SAR;221.9914643475415;2024-05-07
BKNbc;SAO TOME AND PRINCIPE;BMD;11.782521531121793;2024-05-07
BKNbc;DOMINICA;BWP;1210.8952671469303;2024-05-07
BKNbc;DJIBOUTI;CLP;48329.9356331236;2024-05-07
BKNbc;TANZANIA, UNITED REPUBLIC OF;BWP;1072.4654569950824;2024-05-07
BKNbc;BANGLADESH;CAD;50.0560507268532;2024-05-07
BKNbc;PANAMA;TWD;28.903247478798733;2024-05-07
BKNbc;BULGARIA;TZS;178755.79213516976;2024-05-07
AHKL3;BANGLADESH;ZWL;4608631.426486132;2024-05-07
AHKL3;MOROCCO;AZN;13960.608224522282;2024-05-07
AHKL3;BRUNEI DARUSSALAM;ZAR;58001.24934421644;2024-05-07
AHKL3;LIBYAN ARAB JAMAHIRIYA;BWP;70796.70075769084;2024-05-07
AHKL3;YEMEN;DOP;452272.7439796386;2024-05-07
AHLab;DENMARK;DOP;1007062.7736559156;2024-05-07
AHLab;BOLIVIA;BGN;37498.92989182349;2024-05-07
AHLab;CENTRAL AFRICAN REPUBLIC;FJD;7767.823983453589;2024-05-07
LXa11;BOLIVIA;XAF;1910232.0286004285;2024-05-07
LXa11;BANGLADESH;BGN;1039.9595270575762;2024-05-07
LXa11;SWITZERLAND;GYD;109675.5085554492;2024-05-07
LXa11;FRENCH POLYNESIA;OMR;431.1822419521402;2024-05-07
LXa11;RUSSIAN FEDERATION;YER;1000409.3833892024;2024-05-07
LXa11;VENEZUELA;BIF;2234139.4204943054;2024-05-07
LXa11;BAHRAIN;SYP;276970.70893825224;2024-05-07
LXa11;KOREA, REPUBLIC OF;BIF;1269292.8778436151;2024-05-07
LXa11;THAILAND;SRD;129313.79992793888;2024-05-07
LXa11;IRAQ;FJD;1806.511776525876;2024-05-07
LXa11;IRAN (ISLAMIC REPUBLIC OF);MUR;75424.67288793316;2024-05-07
LXa11;SEYCHELLES;BND;1579.7491007798333;2024-05-07
LXa11;BELIZE;SAR;3770.2993825600106;2024-05-07
BFFXX;LIBYAN ARAB JAMAHIRIYA;KZT;3260807.5081914444;2024-05-07
BFFXX;BARBADOS;NGN;7585294.61781858;2024-05-07
BFFXX;URUGUAY;KES;1877539.6293639904;2024-05-07
BFFXX;RWANDA;SYP;4524918.493348412;2024-05-07
BFFXX;LIBYAN ARAB JAMAHIRIYA;VUV;2502229.4182706224;2024-05-07
BFFXX;POLAND;BIF;11906840.807537183;2024-05-07
BFFXX;BELIZE;XAF;11923362.80543512;2024-05-07
GGGbb;SWAZILAND;COP;78553544.26983263;2024-05-07
GGGbb;LEBANON;BYR;59542333.78102536;2024-05-07
GGGbb;SEYCHELLES;SZL;183010.6954756199;2024-05-07
EFKVV;MOROCCO;HTG;78089.27757123442;2024-05-07
EFKVV;HUNGARY;GYD;79926.510236992;2024-05-07
EFKVV;SWITZERLAND;PHP;70044.70784425452;2024-05-07
EFKVV;SRI LANKA;TOP;-25.5085527254709;2024-05-07
