Client;Country;Currency;Transaction;Date
ACV22;MADAGASCAR;PKR;298286.4250678902;2024-06-08
ACV22;HAITI;MAD;8006.739236207603;2024-06-08
ACV22;NEPAL;KES;193595.56186859315;2024-06-08
ACV22;MOROCCO;VES;75607.57947406046;2024-06-08
ACV22;MALDIVES;TRY;65015.743789120366;2024-06-08
ACV22;CHINA;SGD;596.6914260906723;2024-06-08
ACV22;MOZAMBIQUE;CLP;1273576.847459821;2024-06-08
ACV22;CHINA;MYR;9142.435819148468;2024-06-08
ACV22;TURKEY;MZN;306124.3962249072;2024-06-08
FNXa3;SAO TOME AND PRINCIPE;HTG;450127.39238289313;2024-06-08
FNXa3;MYANMAR;GNF;142339015.23576593;2024-06-08
FNXa3;UNITED KINGDOM;RSD;480624.1685989627;2024-06-08
FNXa3;JAPAN;KRW;11983712.039483191;2024-06-08
FNXa3;AUSTRALIA;TZS;19290326.294161014;2024-06-08
FNXa3;FRENCH POLYNESIA;UGX;6277183.280900335;2024-06-08
AAKXY;ARUBA;NAD;122558.1675761128;2024-06-08
AAKXY;JAPAN;BOB;74269.98819678376;2024-06-08
AAKXY;COLOMBIA;SZL;174552.5416993122;2024-06-08
AAKXY;SWITZERLAND;TZS;5194850.953143163;2024-06-08
AAKXY;TONGA;STD;252048530.84431165;2024-06-08
AAKXY;SUDAN;SBD;42246.80378619745;2024-06-08
AAKXY;DOMINICAN REPUBLIC;BHD;1249.128156607806;2024-06-08
AAKXY;DOMINICA;UYU;502119.0266338384;2024-06-08
AAKXY;MACAU;TZS;24952706.33133248;2024-06-08
AAKXY;BRAZIL;XCD;26795.6852898011;2024-06-08
AAKXY;SUDAN;BTN;803236.2491711001;2024-06-08
AAKXY;BULGARIA;GYD;1825924.1475838656;2024-06-08
AAKXY;TUNISIA;MYR;8598.857937567953;2024-06-08
AAKXY;ZIMBABWE;XPF;1768836.6856600018;2024-06-08
BJJMN;HAITI;SAR;5933.563824386041;2024-06-08
BJJMN;MEXICO;MWK;53116.07803205122;2024-06-08
BJJMN;SAMOA;XOF;438015.79011959257;2024-06-08
BJJMN;NEPAL;VUV;109376.55174438877;2024-06-08
BJJMN;BURUNDI;ALL;357058.84242012684;2024-06-08
BJJMN;UNITED ARAB EMIRATES;HUF;1100830.6573533567;2024-06-08
CCCCI;NEW ZEALAND;ZAR;204212.5419828273;2024-06-08
CCCCI;NIGERIA;GNF;75414623.91346732;2024-06-08
CCCCI;BURUNDI;BSD;9354.091209702345;2024-06-08
CCCCI;ICELAND;AOA;193769.48457763597;2024-06-08
CCCCI;PANAMA;GYD;1604235.724859953;2024-06-08
CCCCI;UGANDA;GHS;42434.09988300441;2024-06-08
CCCCI;ROMANIA;XCD;2954.5928608832337;2024-06-08
CCCCI;VIET NAM;ISK;1805480.960447695;2024-06-08
CCCCI;SEYCHELLES;PHP;315229.37072912906;2024-06-08
CCCCI;YEMEN;RUB;934288.8909981112;2024-06-08
CCCCI;KOREA, REPUBLIC OF;UAH;14437.95479546126;2024-06-08
CCCCI;CHINA;ZMW;78.54422049632376;2024-06-08
CCCCI;ETHIOPIA;PHP;325403.8691274129;2024-06-08
CCCCI;SINGAPORE;RSD;1492447.2669587194;2024-06-08
CCCCI;NORWAY;UYU;136842.1318371088;2024-06-08
CCCCI;RWANDA;BHD;3853.8893517148167;2024-06-08
CCCCI;DOMINICA;GMD;938620.8105145724;2024-06-08
FFMV1;MOROCCO;BRL;1693.576873308088;2024-06-08
FFMV1;AUSTRALIA;MGA;13191375.318365514;2024-06-08
FFMV1;ALGERIA;CNY;29386.958777411048;2024-06-08
FFMV1;DJIBOUTI;OMR;828.8637684719613;2024-06-08
FFMV1;GHANA;MUR;24899.055956252774;2024-06-08
FFMV1;SIERRA LEONE;MZN;52163.3535987871;2024-06-08
FFMV1;YEMEN;THB;136014.33394030028;2024-06-08
FFMV1;KUWAIT;CHF;4468.248514674813;2024-06-08
FFMV1;TANZANIA, UNITED REPUBLIC OF;QAR;8058.350302092132;2024-06-08
FFMV1;MOZAMBIQUE;NOK;15321.166778519071;2024-06-08
FFMV1;BERMUDA;BOB;5318.8376177162245;2024-06-08
FFMV1;RUSSIAN FEDERATION;RWF;3412189.3465080895;2024-06-08
FFMV1;BULGARIA;KHR;4093737.398696028;2024-06-08
FFMV1;MALAWI;MXN;46709.052658893;2024-06-08
FFMV1;VANUATU;CYP;1796.8676618373293;2024-06-08
FFMV1;CYPRUS;SGD;2583.589597228507;2024-06-08
FFMV1;MAURITIUS;HNL;12390.804182798476;2024-06-08
FFMV1;ZAMBIA;NPR;324959.40523677523;2024-06-08
FFMV1;SWEDEN;DKK;9604.965613692426;2024-06-08
FFMV1;MADAGASCAR;TWD;116710.22047734311;2024-06-08
JMYYY;ZAMBIA;XPF;950845.496877504;2024-06-08
JMYYY;TONGA;PHP;90590.51817953867;2024-06-08
JMYYY;ISRAEL;ZWL;5793203.786029683;2024-06-08
JMYYY;MADAGASCAR;LVL;4580.2025938069755;2024-06-08
JMYYY;AUSTRALIA;NOK;42733.751003896214;2024-06-08
JMYYY;LATVIA;BMD;5267.674642247939;2024-06-08
JMYYY;BRAZIL;PGK;7358.673254548858;2024-06-08
JMYYY;UNITED KINGDOM;PEN;14716.547427730542;2024-06-08
JMYYY;ETHIOPIA;HRK;72885.7172483729;2024-06-08
JMYYY;GUINEA;BGN;875.3678618012714;2024-06-08
CFGNb;COSTA RICA;ISK;26195.52489169087;2024-06-08
GGXW3;PANAMA;LAK;638653833.8046064;2024-06-08
GGXW3;PHILIPPINES;VND;1269078447.809551;2024-06-08
GGXW3;ARUBA;INR;4480401.514639258;2024-06-08
GGXW3;COLOMBIA;HUF;25326953.917240582;2024-06-08
GGXW3;DENMARK;SOS;16939972.3998931;2024-06-08
GGXW3;UNITED ARAB EMIRATES;JPY;11064523.437691769;2024-06-08
GGXW3;ETHIOPIA;TWD;782848.962028114;2024-06-08
GGXW3;UNITED ARAB EMIRATES;CHF;22104.712538148277;2024-06-08
GGXW3;ZIMBABWE;TOP;105116.80964019752;2024-06-08
GGXW3;PANAMA;LAK;808070335.638293;2024-06-08
GGXW3;SOUTH AFRICA;AUD;37550.96550224767;2024-06-08
GGXW3;ISRAEL;CHF;8779.230800667947;2024-06-08
GGXW3;NORWAY;BGN;89767.2361794504;2024-06-08
AEI22;GAMBIA;BTN;68372.23304633386;2024-06-08
AEI22;BOLIVIA;ZWL;318494.7796275115;2024-06-08
AEI22;COSTA RICA;KYD;204.8098552422449;2024-06-08
AEI22;ICELAND;KES;125909.0530351702;2024-06-08
AEI22;LATVIA;MUR;34008.555608280236;2024-06-08
AEI22;UKRAINE;SOS;47997.732218763325;2024-06-08
AEI22;ALBANIA;TRY;985.2209701834056;2024-06-08
AEI22;MYANMAR;HNL;33628.65598819;2024-06-08
AEI22;HUNGARY;JPY;9896.483605854695;2024-06-08
AEI22;KUWAIT;PHP;784.3373320160565;2024-06-08
AEI22;MALDIVES;BHD;367.90030134306704;2024-06-08
AEI22;QATAR;MMK;916439.044953602;2024-06-08
AEI22;HONG KONG;BHD;358.47497161297565;2024-06-08
AEI22;RUSSIAN FEDERATION;PES;222554.08274557872;2024-06-08
AEI22;BELARUS;MYR;5358.8964905417415;2024-06-08
