Client;Country;Currency;Transaction;Date
CDb22;YEMEN;BRL;444282.7447898908;2024-07-26
CDb22;GAMBIA;XCD;135031.23470847364;2024-07-26
CDb22;LIBYAN ARAB JAMAHIRIYA;MYR;363210.2768635907;2024-07-26
CDb22;BAHRAIN;JMD;16418612.730986085;2024-07-26
CDb22;SAO TOME AND PRINCIPE;MMK;289555758.74905133;2024-07-26
CDb22;ARUBA;CRC;23688253.46184654;2024-07-26
CDb22;SWEDEN;PHP;5011034.109685726;2024-07-26
CDb22;GHANA;BND;3313.666112092148;2024-07-26
CDb22;AZERBAIJAN;TTD;385076.33177378384;2024-07-26
ACKXc;ZIMBABWE;EUR;38140.908106750656;2024-07-26
ACKXc;ARGENTINA;EUR;48133.78828612942;2024-07-26
ACKXc;SYRIAN ARAB REPUBLIC;XOF;54857828.4911496;2024-07-26
ACKXc;UNITED KINGDOM;AUD;2639.5477991199627;2024-07-26
ACKXc;BAHRAIN;BRL;315304.00992054335;2024-07-26
ACKXc;ALBANIA;BND;3670.4366370322177;2024-07-26
ACKXc;HUNGARY;PEN;317351.2277431218;2024-07-26
ACKXc;CAYMAN ISLANDS;NOK;370373.2821263924;2024-07-26
ACKXc;ALBANIA;GBP;71607.40464834226;2024-07-26
ACKXc;LEBANON;PHP;3083395.866400936;2024-07-26
ACKXc;CHINA;GNF;621324968.9104481;2024-07-26
ACKXc;ZAMBIA;SBD;344051.42765571614;2024-07-26
ACKXc;NICARAGUA;PEN;376101.4368339873;2024-07-26
ACKXc;NEW ZEALAND;NPR;10931467.465192296;2024-07-26
ACKXc;SWAZILAND;THB;1947405.938013959;2024-07-26
ACKXc;CYPRUS;THB;2851583.6501740105;2024-07-26
ACKXc;JAPAN;XAF;44877513.36280133;2024-07-26
ACKXc;ISRAEL;SZL;595508.2782656068;2024-07-26
ACKXc;TUNISIA;BWP;597544.0390549197;2024-07-26
ACKXc;BAHRAIN;NGN;27631841.31451931;2024-07-26
AJWYb;PAKISTAN;VUV;719760.8786757257;2024-07-26
FILXZ;SWITZERLAND;SBD;65593.73005394274;2024-07-26
FILXZ;MAURITIUS;ETB;440063.3905227313;2024-07-26
FILXZ;BHUTAN;SCR;114964.0210851949;2024-07-26
FILXZ;DJIBOUTI;RSD;1389366.3767297852;2024-07-26
FILXZ;LIBYAN ARAB JAMAHIRIYA;GHS;168846.97622100628;2024-07-26
FILXZ;SYRIAN ARAB REPUBLIC;DJF;1358246.9633783742;2024-07-26
FILXZ;NICARAGUA;CHF;7703.542539215904;2024-07-26
FILXZ;PAPUA NEW GUINEA;AOA;2901820.3905106145;2024-07-26
FILXZ;MALAYSIA;CVE;291438.4944565995;2024-07-26
FILXZ;KAZAKHSTAN;SDG;7778456.21944582;2024-07-26
FILXZ;BULGARIA;ZAR;76600.74392165997;2024-07-26
FILXZ;GUYANA;PHP;593190.5325739544;2024-07-26
FILXZ;CHILE;NIO;470838.347956545;2024-07-26
FILXZ;KOREA, REPUBLIC OF;BTN;633004.681852164;2024-07-26
FILXZ;CAPE VERDE;JPY;809920.962667068;2024-07-26
FILXZ;KUWAIT;AED;21626.079366137215;2024-07-26
FILXZ;QATAR;ARS;2833681.6676117675;2024-07-26
FILXZ;SAUDI ARABIA;XCD;22566.5025257288;2024-07-26
FILXZ;YEMEN;SCR;159317.66020400095;2024-07-26
EFGIZ;NICARAGUA;NIO;47549.64379907669;2024-07-26
EFGIZ;HAITI;UGX;968881.8906631368;2024-07-26
EFGIZ;ALGERIA;MYR;13412.637251840924;2024-07-26
EFGIZ;ALBANIA;ZWL;916848.005530287;2024-07-26
EFGIZ;VIET NAM;WST;6724.954047863603;2024-07-26
EFGIZ;ISRAEL;TOP;72.50916059994582;2024-07-26
BIJXb;MEXICO;DOP;2554946.2984890044;2024-07-26
BIJXb;CENTRAL AFRICAN REPUBLIC;ZMW;-3426.532030022916;2024-07-26
BIJXb;SWEDEN;JPY;134906.07330829272;2024-07-26
BIJXb;SAO TOME AND PRINCIPE;SRD;851309.5746746433;2024-07-26
BIJXb;TUNISIA;SCR;124612.33176959028;2024-07-26
BIJXb;SYRIAN ARAB REPUBLIC;BND;57944.143466605325;2024-07-26
BIJXb;ETHIOPIA;TOP;55170.28509119032;2024-07-26
BIJXb;GUATEMALA;PGK;89356.48250974517;2024-07-26
BIJXb;TURKEY;LYD;3987.523017941091;2024-07-26
BIJXb;PANAMA;MRO;10252613.54655205;2024-07-26
GIXXX;IRAQ;TZS;1862712.5742438876;2024-07-26
GIXXX;SWITZERLAND;SYP;351594.3728367086;2024-07-26
GIXXX;HUNGARY;UGX;2821144.654313484;2024-07-26
GIXXX;LIBERIA;UAH;35268.13901061913;2024-07-26
GIXXX;CHILE;GMD;32346.402983943324;2024-07-26
GIXXX;TONGA;TOP;1728.6106323726085;2024-07-26
GIXXX;LAO PEOPLE'S DEMOCRATIC REP;KRW;606639.3878622042;2024-07-26
GIXXX;KENYA;ZMW;15129.833447737366;2024-07-26
GIXXX;BOTSWANA;PAB;311.47168097333224;2024-07-26
BGYcc;ROMANIA;EGP;66364.31370819893;2024-07-26
BGYcc;BAHRAIN;RON;13557.916422436738;2024-07-26
BGYcc;PAKISTAN;BGN;2344.438801933206;2024-07-26
BGYcc;JAMAICA;BIF;2457049.6092983205;2024-07-26
BGYcc;NIGERIA;SVC;6372.794693017511;2024-07-26
BGYcc;MOZAMBIQUE;BIF;2960475.989993678;2024-07-26
BGYcc;GUYANA;VND;62685576.20625373;2024-07-26
BGYcc;SERBIA;MZN;58859.84514329774;2024-07-26
BGYcc;GAMBIA;IRR;22059604.70507674;2024-07-26
BGYcc;HONG KONG;SEK;13160.52411575832;2024-07-26
BGYcc;MEXICO;SCR;36710.81235878183;2024-07-26
BGYcc;NICARAGUA;BZD;2185.881190246069;2024-07-26
BGYcc;VIET NAM;DOP;18505.29062134639;2024-07-26
BGYcc;NORWAY;XCD;2988.324824434101;2024-07-26
BGYcc;AUSTRALIA;XCD;1574.3329280796836;2024-07-26
BGYcc;SWEDEN;CZK;10764.222602098274;2024-07-26
BGYcc;DOMINICA;IDR;5743939.671058297;2024-07-26
BGYcc;IRAN (ISLAMIC REPUBLIC OF);CVE;284852.7910137232;2024-07-26
BGYcc;UKRAINE;MWK;1442774.868962574;2024-07-26
CCEGX;VENEZUELA;EUR;83.36991105468569;2024-07-26
CCEGX;DENMARK;AED;4479.964716904999;2024-07-26
CCEGX;INDIA;XOF;333193.43959754996;2024-07-26
CCEGX;ALGERIA;LRD;578190.5510176221;2024-07-26
CCEGX;MYANMAR;RUB;13399.763932000697;2024-07-26
CCEGX;JAPAN;KRW;990279.6687866;2024-07-26
CCEGX;HONDURAS;INR;166598.70962462685;2024-07-26
CCEGX;UGANDA;SLL;50522648.70354506;2024-07-26
CCEGX;VIET NAM;ZAR;56973.42413257159;2024-07-26
CCEGX;MOZAMBIQUE;AZN;5025.028665158793;2024-07-26
CCEGX;BURUNDI;ZAR;13332.821857508194;2024-07-26
CCEGX;HUNGARY;BYR;98651586.2619051;2024-07-26
CCEGX;SYRIAN ARAB REPUBLIC;UYU;161713.8238595146;2024-07-26
CCEGX;DENMARK;CLP;55045.06634145574;2024-07-26
CCEGX;CYPRUS;RWF;4180634.444850575;2024-07-26
CCEGX;RWANDA;DOP;30187.098246535632;2024-07-26
CCEGX;VIET NAM;AED;4098.723700326275;2024-07-26
BXZac;DJIBOUTI;ETB;50423.43682942615;2024-07-26
BXZac;EL SALVADOR;IDR;24217696.27179047;2024-07-26
EEWWb;TUNISIA;VES;121612.66585296825;2024-07-26
EEWWb;KOREA, REPUBLIC OF;CVE;493496.1949909036;2024-07-26
EEWWb;LIBERIA;MUR;263315.56538284034;2024-07-26
EEWWb;DJIBOUTI;CNY;35549.03603131958;2024-07-26
EEWWb;BRAZIL;EGP;122118.26193221047;2024-07-26
