Client;Country;Currency;Transaction;Date
CCHNb;BARBADOS;BYR;391442371.2359308;2024-08-27
CCHNb;ISRAEL;NOK;82165.99813854102;2024-08-27
CCHNb;SAO TOME AND PRINCIPE;CZK;36313.29868114599;2024-08-27
CCHNb;DENMARK;LYD;65248.05552484201;2024-08-27
CCHNb;TOGO;MYR;69981.73091880475;2024-08-27
CCHNb;PHILIPPINES;NGN;1939295.665926926;2024-08-27
CCHNb;MEXICO;TZS;15504885.94197291;2024-08-27
CCHNb;JAMAICA;SCR;57424.09443975474;2024-08-27
CCHNb;SAO TOME AND PRINCIPE;ALL;681627.827551087;2024-08-27
CCHNb;SRI LANKA;MVR;154068.4693491419;2024-08-27
CCHNb;PARAGUAY;AOA;7743622.120469416;2024-08-27
CCHNb;SAO TOME AND PRINCIPE;CRC;5503910.641212756;2024-08-27
CCHNb;KENYA;TRY;268677.0548168194;2024-08-27
CCHNb;SWEDEN;FJD;17372.79402025803;2024-08-27
CCHNb;COLOMBIA;HUF;464340.8512278835;2024-08-27
HJM11;SEYCHELLES;INR;324663.2338798122;2024-08-27
HJM11;CHILE;BIF;7032607.600031036;2024-08-27
HJM11;MYANMAR;PHP;104162.1992977667;2024-08-27
HJM11;HAITI;EUR;912.5911738961884;2024-08-27
HJM11;PAKISTAN;SAR;28182.15400356053;2024-08-27
HJM11;HUNGARY;SOS;1683273.785387856;2024-08-27
HJM11;BANGLADESH;GNF;61912846.62930047;2024-08-27
HJM11;IRAN (ISLAMIC REPUBLIC OF);ZAR;9731.206082995384;2024-08-27
DFNWY;KENYA;GBP;970.2513613145514;2024-08-27
DFNWY;ETHIOPIA;VND;45348757.75810261;2024-08-27
HL122;SINGAPORE;AWG;10318.86191179203;2024-08-27
HL122;CAMBODIA;WST;24006.52614837614;2024-08-27
HL122;LATVIA;FJD;11569.11022940146;2024-08-27
HL122;MAURITANIA;THB;172368.5145722689;2024-08-27
HL122;BRUNEI DARUSSALAM;MOP;20987.89700824007;2024-08-27
HL122;PAKISTAN;IQD;638422.9163363546;2024-08-27
HL122;BOTSWANA;SAR;30432.46486583385;2024-08-27
HL122;LIBERIA;MMK;13448758.1017345;2024-08-27
HL122;OMAN;ISK;1070263.271219509;2024-08-27
HL122;CENTRAL AFRICAN REPUBLIC;TOP;6901.418383063608;2024-08-27
HL122;UNITED KINGDOM;BTN;530287.9133697788;2024-08-27
HL122;GUINEA;BBD;11622.07506217044;2024-08-27
HL122;ZAMBIA;GYD;1694548.99045797;2024-08-27
HL122;RUSSIAN FEDERATION;UYU;220347.436916469;2024-08-27
HL122;TUNISIA;AUD;10104.0401794418;2024-08-27
HL122;SWITZERLAND;RUB;175803.1688344684;2024-08-27
HL122;HONG KONG;TTD;19417.27436138477;2024-08-27
HL122;BOLIVIA;IDR;279880.724240771;2024-08-27
HL122;MADAGASCAR;MAD;47530.1012776682;2024-08-27
HL122;RWANDA;MWK;3885242.046278401;2024-08-27
DHNNZ;SERBIA;SVC;31288.11089829546;2024-08-27
DHNNZ;PERU;SYP;401140.7458778697;2024-08-27
DHNNZ;OMAN;HRK;9532.227201451287;2024-08-27
DHNNZ;BERMUDA;MWK;3193739.78454815;2024-08-27
DHNNZ;POLAND;SGD;4870.134512655905;2024-08-27
DHNNZ;MAURITIUS;KHR;3985504.937932646;2024-08-27
DHNNZ;TANZANIA, UNITED REPUBLIC OF;EGP;78932.96092034111;2024-08-27
DHNNZ;IRAQ;GYD;166709.3938840016;2024-08-27
DHNNZ;BOLIVIA;SZL;25167.5572907533;2024-08-27
DHNNZ;PANAMA;PHP;36920.53677531418;2024-08-27
DHNNZ;BELARUS;BOB;2483.234339492576;2024-08-27
DHNNZ;GAMBIA;CYP;1222.472972429043;2024-08-27
DHNNZ;BRAZIL;STD;70147558.35719287;2024-08-27
DHNNZ;MALAWI;CZK;86088.70939813487;2024-08-27
DHNNZ;ALGERIA;VUV;202913.4387681251;2024-08-27
DHNNZ;MYANMAR;GBP;1723.23140596038;2024-08-27
DHNNZ;HAITI;HNL;66335.30172183677;2024-08-27
FFWW3;SAO TOME AND PRINCIPE;MGA;2731606.633616453;2024-08-27
FFWW3;SEYCHELLES;PEN;7962.448404952832;2024-08-27
FFWW3;EURO;XPF;186596.1663689974;2024-08-27
FFWW3;EGYPT;RON;4325.186361952455;2024-08-27
FFWW3;NEPAL;ARS;41460.17020898889;2024-08-27
FFWW3;SUDAN;UAH;42192.01215311807;2024-08-27
FFWW3;BANGLADESH;LAK;2019851.349380673;2024-08-27
FFWW3;FRENCH POLYNESIA;CYP;688.7925448818107;2024-08-27
FFWW3;FRENCH POLYNESIA;DJF;318758.3254452378;2024-08-27
FFWW3;NEPAL;VND;68245119.0565495;2024-08-27
FFWW3;EGYPT;AWG;5045.376253211914;2024-08-27
FFWW3;MAURITIUS;LKR;1010807.64383725;2024-08-27
FFWW3;LEBANON;MAD;29911.44114036496;2024-08-27
FFWW3;SOLOMON ISLANDS;ZWL;901066.9035774986;2024-08-27
DEKKK;RUSSIAN FEDERATION;JOD;7611.38197466301;2024-08-27
DEKKK;TANZANIA, UNITED REPUBLIC OF;DZD;464972.0206606429;2024-08-27
DEKKK;SEYCHELLES;TWD;406169.0117522486;2024-08-27
DEKKK;ARGENTINA;JMD;763044.7249571373;2024-08-27
DEKKK;BOTSWANA;SGD;25376.14624418494;2024-08-27
DEKKK;TRINIDAD AND TOBAGO;CNY;42945.24984390277;2024-08-27
DEKKK;NAMIBIA;SLL;16212460.57072869;2024-08-27
DEKKK;HONG KONG;OMR;228.2964691260349;2024-08-27
DEKKK;MALDIVES;COP;37204532.85477448;2024-08-27
DEKKK;BURUNDI;PES;561833.469151874;2024-08-27
DEKKK;SUDAN;BDT;585373.4825278792;2024-08-27
DEKKK;NEPAL;BYR;245114544.7268184;2024-08-27
DEKKK;SYRIAN ARAB REPUBLIC;NIO;257934.2287387307;2024-08-27
DEKKK;KAZAKHSTAN;CAD;17264.43893795617;2024-08-27
DEKKK;LIBYAN ARAB JAMAHIRIYA;CNY;31241.66586775132;2024-08-27
DEKKK;GAMBIA;MWK;1177282.660503529;2024-08-27
DEKKK;EL SALVADOR;CYP;6995.268850932337;2024-08-27
DEKKK;ETHIOPIA;SCR;183845.4462922417;2024-08-27
DEKKK;EURO;VES;450384.2950560984;2024-08-27
DEKKK;LEBANON;BMD;15778.03796225967;2024-08-27
CGVYZ;IRAN (ISLAMIC REPUBLIC OF);GTQ;33258.48768215501;2024-08-27
CGVYZ;DOMINICA;BSD;6837.991299934074;2024-08-27
CGVYZ;SINGAPORE;KZT;1493114.638476691;2024-08-27
CGVYZ;UNITED KINGDOM;LBP;8346045.980573997;2024-08-27
CGVYZ;BURUNDI;PHP;393096.8127593618;2024-08-27
DIMa2;BURUNDI;BHD;1173.667445793974;2024-08-27
DIMa2;MEXICO;SEK;80845.64845819921;2024-08-27
DIMa2;CZECH REPUBLIC;XOF;498791.8059039328;2024-08-27
DIMa2;HUNGARY;PKR;67115.59123324661;2024-08-27
DIMa2;BOLIVIA;ALL;434099.0778064199;2024-08-27
DIMa2;THAILAND;RUB;451250.4151628349;2024-08-27
DIMa2;NORWAY;TZS;2988503.320771124;2024-08-27
DIMa2;DENMARK;HKD;12950.30398061189;2024-08-27
DIMa2;BAHAMAS;ZMW;4612.444661792883;2024-08-27
DIMa2;SERBIA;MZN;125448.7339016923;2024-08-27
DIMa2;VIET NAM;GYD;205528.0594587498;2024-08-27
DIMa2;ARUBA;VUV;70591.47577420576;2024-08-27
DIMa2;NEW ZEALAND;MVR;83126.95692453712;2024-08-27
DEXY2;CYPRUS;TWD;141620.8418832818;2024-08-27
DEXY2;MACAU;LRD;1059665.183931972;2024-08-27
DEXY2;NORWAY;WST;16937.3655472628;2024-08-27
DEXY2;SOMALIA;TZS;7150998.91524331;2024-08-27
DEXY2;FRENCH POLYNESIA;ZMW;29332.50872706901;2024-08-27
DEXY2;KENYA;GBP;3113.915205056436;2024-08-27
DEXY2;JAMAICA;AZN;4187.555588249729;2024-08-27
DEXY2;MADAGASCAR;NIO;145939.1493951727;2024-08-27
DEXY2;ZIMBABWE;ZMW;8468.434704456906;2024-08-27
CEEMN;EGYPT;PGK;21862.78523307997;2024-08-27
CEEMN;LIBERIA;LAK;214658724.2340489;2024-08-27
CEEMN;JAPAN;RON;77751.7905055463;2024-08-27
CEEMN;BERMUDA;BIF;26667203.4525808;2024-08-27
CEEMN;GUYANA;DJF;2753753.360710881;2024-08-27
CEEMN;TONGA;BZD;26800.4095357005;2024-08-27
CEEMN;KAZAKHSTAN;MRO;4548435.206457857;2024-08-27
CEEMN;IRAN (ISLAMIC REPUBLIC OF);HNL;315832.2499723699;2024-08-27
CEEMN;ROMANIA;ALL;1869729.08447844;2024-08-27
GHXXb;SERBIA;DZD;3834445.350283496;2024-08-27
GHXXb;COSTA RICA;MXN;139634.4568666864;2024-08-27
GHXXb;BAHAMAS;COP;71704652.91959544;2024-08-27
GHXXb;ANGOLA;HUF;3901821.413951457;2024-08-27
GHXXb;NORWAY;CVE;2644136.891659325;2024-08-27
GHXXb;ICELAND;HNL;557143.9006648047;2024-08-27
BBEFM;GUATEMALA;AZN;4354.719279431288;2024-08-27
BBEFM;HONG KONG;ISK;501121.7394692245;2024-08-27
BBEFM;NORWAY;TRY;66989.58385276527;2024-08-27
BBEFM;ROMANIA;EUR;3495.412904684151;2024-08-27
BBEFM;BELARUS;NGN;1087112.10170957;2024-08-27
BBEFM;CAYMAN ISLANDS;BND;328.1308975096792;2024-08-27
BBEFM;YEMEN;SZL;10615.04819616464;2024-08-27
BBEFM;POLAND;MGA;6474868.20378846;2024-08-27
BBEFM;BERMUDA;LYD;3611.156582290334;2024-08-27
BBEFM;VIET NAM;BSD;2982.546725431495;2024-08-27
BBEFM;OMAN;SAR;3323.306702517756;2024-08-27
BBEFM;MADAGASCAR;RUB;213767.9604255613;2024-08-27
EFJJc;ZAMBIA;ALL;50864.09271975489;2024-08-27
EFJJc;NAMIBIA;NGN;65380.43385967656;2024-08-27
EFJJc;TURKEY;SDG;197003.852299798;2024-08-27
EFJJc;POLAND;MAD;1069.93542115431;2024-08-27
EFJJc;JAPAN;DZD;35799.65475420711;2024-08-27
EFJJc;MAURITANIA;LBP;770568.8250198363;2024-08-27
EFJJc;NEW ZEALAND;WST;817.8931511154584;2024-08-27
EFJJc;BAHAMAS;SEK;4669.129250757844;2024-08-27
EFJJc;POLAND;PHP;12497.86012660783;2024-08-27
EFJJc;ZIMBABWE;XOF;154651.0804950862;2024-08-27
EFJJc;PANAMA;RSD;60815.82820835828;2024-08-27
EFJJc;ANGOLA;NAD;8199.977925368725;2024-08-27
EFJJc;PAPUA NEW GUINEA;UGX;767701.6840549139;2024-08-27
EFJJc;BELIZE;NPR;47373.73900412017;2024-08-27
EFJJc;MAURITANIA;TND;513.1968192571027;2024-08-27
Zabc2;EGYPT;ZMW;200461.1569646726;2024-08-27
Zabc2;YEMEN;MUR;324857.4006238895;2024-08-27
Zabc2;ALGERIA;GYD;3649856.360732575;2024-08-27
Zabc2;KAZAKHSTAN;ANG;24138.09382225934;2024-08-27
Zabc2;MEXICO;BDT;-4466.939187700616;2024-08-27
Zabc2;PAKISTAN;KZT;5016350.259903443;2024-08-27
Zabc2;ALGERIA;MXN;356762.338135933;2024-08-27
Zabc2;KAZAKHSTAN;TOP;42468.13959259929;2024-08-27
Zabc2;NORWAY;HNL;253376.565063186;2024-08-27
Zabc2;BRUNEI DARUSSALAM;BND;24623.41269657754;2024-08-27
Zabc2;MOZAMBIQUE;YER;1071924.027520962;2024-08-27
Zabc2;URUGUAY;BND;10373.66019095077;2024-08-27
Zabc2;VIET NAM;NGN;182885.5447819452;2024-08-27
Zabc2;NORWAY;XPF;117469.4969050027;2024-08-27
Zabc2;CENTRAL AFRICAN REPUBLIC;SCR;161236.048765773;2024-08-27
Zabc2;RWANDA;XCD;21104.78833251715;2024-08-27
Zabc2;POLAND;ZMW;240770.1356665343;2024-08-27
Zabc2;NEW ZEALAND;SCR;184428.5734863903;2024-08-27
BVXWW;SOMALIA;UGX;2875462.475434097;2024-08-27
BVXWW;BARBADOS;VND;57216490.72672812;2024-08-27
BVXWW;MALAWI;JOD;3989.763808121601;2024-08-27
BVXWW;PHILIPPINES;SZL;71620.51535074634;2024-08-27
CVab1;CHINA;DOP;275335.7518332518;2024-08-27
CVab1;BOTSWANA;BND;9893.454613355483;2024-08-27
CVab1;SEYCHELLES;EUR;6618.129002024751;2024-08-27
CVab1;ETHIOPIA;MXN;154623.0509402823;2024-08-27
CVab1;VENEZUELA;NOK;84230.50535436127;2024-08-27
CVab1;HONG KONG;CVE;444517.6425260346;2024-08-27
CVab1;MALAWI;KRW;5896108.220004224;2024-08-27
CVab1;SRI LANKA;CVE;779853.8044929795;2024-08-27
CVab1;MACAU;MOP;49718.79022535386;2024-08-27
CVab1;PARAGUAY;PKR;1154957.759754972;2024-08-27
IMMM3;MACAU;HKD;21134.75354153029;2024-08-27
IMMM3;MALAYSIA;COP;60536707.29652492;2024-08-27
IMMM3;TANZANIA, UNITED REPUBLIC OF;CAD;13419.84430035736;2024-08-27
IMMM3;JAMAICA;SLL;33045367.38719032;2024-08-27
IMMM3;FRENCH POLYNESIA;UGX;14410319.90506622;2024-08-27
IMMM3;JAPAN;BIF;18103038.0861007;2024-08-27
FNNVY;NICARAGUA;OMR;2071.127615406038;2024-08-27
FNNVY;MACAU;ILS;8393.06207758255;2024-08-27
FNNVY;NORWAY;IRR;136392270.4059637;2024-08-27
FNNVY;DOMINICA;GMD;314335.8108942723;2024-08-27
FNNVY;PAPUA NEW GUINEA;MGA;19584555.39336623;2024-08-27
FNNVY;SOUTH AFRICA;TWD;63299.35435338735;2024-08-27
FNNVY;EURO;HNL;197533.0249973847;2024-08-27
CDHa3;PHILIPPINES;MGA;3840380.007752286;2024-08-27
CDHa3;CROATIA;GMD;193080.2442789869;2024-08-27
CDHa3;GHANA;DKK;26090.095212673;2024-08-27
CDHa3;BELIZE;HUF;1538764.991601597;2024-08-27
CDHa3;BRUNEI DARUSSALAM;BWP;40732.79613631578;2024-08-27
CDHa3;UNITED KINGDOM;CAD;170.6525888344437;2024-08-27
CDHa3;SINGAPORE;ARS;398272.8564987554;2024-08-27
CDHa3;SRI LANKA;RSD;391307.4052116098;2024-08-27
CDHa3;BAHRAIN;KHR;14816597.58083371;2024-08-27
CDHa3;GAMBIA;LYD;10312.60831651789;2024-08-27
CDHa3;LEBANON;GBP;2653.872460413788;2024-08-27
CDHa3;TOGO;NGN;658728.1167803499;2024-08-27
CDHa3;LEBANON;MGA;1711570.193006567;2024-08-27
CDHa3;CZECH REPUBLIC;NPR;502298.976763324;2024-08-27
CDHa3;GHANA;BDT;92582.60992218794;2024-08-27
CDHa3;LAO PEOPLE'S DEMOCRATIC REP;BBD;5498.859992113174;2024-08-27
CDHa3;COLOMBIA;KZT;1341914.400160833;2024-08-27
CDHa3;ALGERIA;SOS;153679.8308710432;2024-08-27
CDHa3;SWEDEN;XOF;862292.7695841639;2024-08-27
FGGaa;TRINIDAD AND TOBAGO;KES;729226.9223877727;2024-08-27
FGGaa;IRAQ;BDT;398433.2679969511;2024-08-27
FGGaa;DENMARK;PGK;1835.186004644163;2024-08-27
FGGaa;HAITI;AWG;6894.723307124485;2024-08-27
FGGaa;MOZAMBIQUE;CLP;3491165.176382599;2024-08-27
FGGaa;ICELAND;IQD;3068146.928885711;2024-08-27
FGGaa;PERU;GBP;2786.888209833823;2024-08-27
FGGaa;BERMUDA;HRK;43796.23481574762;2024-08-27
FGGaa;BANGLADESH;NIO;182943.0165743944;2024-08-27
FGGaa;SAUDI ARABIA;LBP;8976601.494778806;2024-08-27
FGGaa;KUWAIT;MVR;95871.06709702806;2024-08-27
FGGaa;FRENCH POLYNESIA;NIO;212771.2027366158;2024-08-27
FGGaa;BELIZE;XOF;2223352.261828817;2024-08-27
FGGaa;NETHERLANDS ANTILLES;ARS;797214.4879845217;2024-08-27
GJNWc;QATAR;RUB;33110.75615726309;2024-08-27
GJNWc;ARGENTINA;CRC;94197.41748108547;2024-08-27
BEIZ1;MEXICO;RON;20174.06609193574;2024-08-27
BEIZ1;JAPAN;PLN;3651.562896368542;2024-08-27
BEIZ1;TAIWAN, PROVINCE OF CHINA;ARS;641773.7765049515;2024-08-27
BEIZ1;MYANMAR;KRW;1282045.213605268;2024-08-27
BEIZ1;SIERRA LEONE;TWD;29214.17101656188;2024-08-27
BEIZ1;KUWAIT;CRC;618140.741557845;2024-08-27
BEIZ1;SIERRA LEONE;HKD;641.7294470161751;2024-08-27
BEIZ1;NICARAGUA;MOP;7383.607654618039;2024-08-27
BEIZ1;MYANMAR;ARS;501946.7539578718;2024-08-27
BEIZ1;LEBANON;KZT;1566390.232537671;2024-08-27
BEIZ1;SAMOA;VND;136505324.9115762;2024-08-27
BEIZ1;BANGLADESH;QAR;7662.265030593774;2024-08-27
BEIZ1;SERBIA;MZN;321088.5050470972;2024-08-27
CFGHW;ISRAEL;DJF;214581.5822883532;2024-08-27
CFGHW;YEMEN;KYD;67.75241166144602;2024-08-27
CFGHW;INDIA;TWD;17822.81834837807;2024-08-27
CFGHW;UNITED ARAB EMIRATES;QAR;6399.89784249544;2024-08-27
CFGHW;SWAZILAND;ZWL;633044.0387583148;2024-08-27
CFGHW;MYANMAR;YER;352817.6155733083;2024-08-27
CFGHW;CAPE VERDE;SLL;15610390.35484638;2024-08-27
CFGHW;ETHIOPIA;GBP;1155.56634263878;2024-08-27
HHYZb;CHILE;THB;9606.853967321087;2024-08-27
HHYZb;BOTSWANA;WST;11838.30976475968;2024-08-27
HHYZb;CAYMAN ISLANDS;BWP;65336.74865123478;2024-08-27
HHYZb;AUSTRALIA;DKK;27062.13285710134;2024-08-27
HHYZb;PANAMA;SVC;66924.075668297;2024-08-27
HHYZb;SWEDEN;CLP;6061231.499028122;2024-08-27
HHYZb;SURINAME;BYR;444327872.7238056;2024-08-27
HHYZb;AUSTRALIA;KES;1768352.44344175;2024-08-27
HHYZb;BELARUS;CAD;22226.93368323431;2024-08-27
HHYZb;NEPAL;EGP;346325.5456669117;2024-08-27
HHYZb;BULGARIA;CHF;9004.632027492702;2024-08-27
HHYZb;SWAZILAND;PYG;78045503.81238791;2024-08-27
HHYZb;URUGUAY;GYD;1588927.609757225;2024-08-27
HHYZb;ETHIOPIA;SVC;76808.82070430186;2024-08-27
HHYZb;SERBIA;VES;57834.18762233941;2024-08-27
NXZ23;JORDAN;BDT;1874145.354348997;2024-08-27
NXZ23;NAMIBIA;MGA;13158406.13387344;2024-08-27
NXZ23;SEYCHELLES;NOK;251117.0997530754;2024-08-27
NXZ23;MOZAMBIQUE;GTQ;180832.0412652655;2024-08-27
NXZ23;PANAMA;XAF;17922337.7857588;2024-08-27
NXZ23;MYANMAR;GBP;20525.87528726356;2024-08-27
NXZ23;JAPAN;HKD;150369.5377321314;2024-08-27
NXZ23;TAIWAN, PROVINCE OF CHINA;KRW;31620755.01493405;2024-08-27
BDDW3;CAMBODIA;MRO;252784.4835266876;2024-08-27
BDDW3;ROMANIA;BOB;3313.396460955906;2024-08-27
BDDW3;BOLIVIA;CLP;78619.31625385405;2024-08-27
BDDW3;NEPAL;SYP;178299.8931592116;2024-08-27
BDDW3;BRAZIL;MGA;779595.7829191422;2024-08-27
BDDW3;RWANDA;DZD;36941.24637592823;2024-08-27
BDDW3;JAPAN;FJD;614.9475413961974;2024-08-27
ac333;TURKEY;IRR;10888872.7756879;2024-08-27
ac333;LAO PEOPLE'S DEMOCRATIC REP;KZT;452203.8301843342;2024-08-27
ac333;VENEZUELA;DJF;65034.65213996848;2024-08-27
ac333;PARAGUAY;SEK;9104.63458661238;2024-08-27
ac333;AUSTRALIA;LVL;420.0764552063263;2024-08-27
ac333;SAUDI ARABIA;BWP;7617.054065507803;2024-08-27
ac333;DOMINICA;THB;10883.18434811791;2024-08-27
ac333;HONG KONG;BZD;2040.350827291351;2024-08-27
ac333;ARUBA;UYU;42598.06089553108;2024-08-27
ac333;COSTA RICA;GHS;11007.04358195942;2024-08-27
ac333;CAPE VERDE;OMR;246.0334721653875;2024-08-27
DNXY1;CHINA;GYD;31467.10379233777;2024-08-27
DNXY1;CHILE;VUV;7544.214715007961;2024-08-27
