Client;Country;Currency;Transaction;Date
GLZb3;KENYA;ARS;379499.8261566755;2024-09-25
GLZb3;ANGOLA;JOD;274.6567570642642;2024-09-25
GLZb3;CROATIA;PAB;251.8244503363301;2024-09-25
GLZb3;KENYA;OMR;911.1991814378408;2024-09-25
GLZb3;FRENCH POLYNESIA;MOP;4664.018746964729;2024-09-25
GLZb3;ARGENTINA;BWP;8284.616987322474;2024-09-25
GLZb3;SWITZERLAND;CZK;4619.159780242606;2024-09-25
GLZb3;BRAZIL;RSD;266143.6022874135;2024-09-25
GLZb3;LAO PEOPLE'S DEMOCRATIC REP;KYD;1348.608429173737;2024-09-25
GLZb3;ALGERIA;BBD;4229.043375541815;2024-09-25
GLZb3;ALGERIA;NIO;56049.17050596068;2024-09-25
HHKLV;PAPUA NEW GUINEA;VES;91337.85325885472;2024-09-25
HHKLV;TAIWAN, PROVINCE OF CHINA;WST;1768.602924662743;2024-09-25
HHKLV;BHUTAN;JOD;2665.990400566243;2024-09-25
HHKLV;JORDAN;NGN;1474688.071773632;2024-09-25
HHKLV;MALAWI;SDG;1328149.550071331;2024-09-25
HHKLV;TAIWAN, PROVINCE OF CHINA;SDG;3261596.503666099;2024-09-25
HHKLV;DJIBOUTI;LYD;15604.49161463066;2024-09-25
HHKLV;HONG KONG;MVR;87022.82236927461;2024-09-25
HHKLV;HUNGARY;ZMW;1476.003016213563;2024-09-25
HHKLV;ALBANIA;IQD;5081641.293412637;2024-09-25
HHKLV;SYRIAN ARAB REPUBLIC;BGN;2186.314620662136;2024-09-25
HHKLV;BAHAMAS;KHR;18416003.94067763;2024-09-25
DKKKM;GHANA;AED;16.4890164306541;2024-09-25
DKKKM;BAHRAIN;PHP;6591.941438398218;2024-09-25
DKKKM;PAPUA NEW GUINEA;DOP;206.014545050112;2024-09-25
DKKKM;SAMOA;JPY;15492.61432884969;2024-09-25
DKKKM;BOTSWANA;BOB;347.255597057491;2024-09-25
DKKKM;BRAZIL;HRK;982.5471895245396;2024-09-25
DKKKM;PAPUA NEW GUINEA;SRD;1623.039991651313;2024-09-25
DKKKM;BERMUDA;PAB;26.67314308308081;2024-09-25
DKKKM;BAHRAIN;RSD;963.5532522376858;2024-09-25
DKKKM;AUSTRALIA;FJD;275.073711729803;2024-09-25
DKKKM;IRAN (ISLAMIC REPUBLIC OF);HTG;18896.74698577439;2024-09-25
DKKKM;VIET NAM;MVR;2175.905507719758;2024-09-25
DKKKM;KUWAIT;MAD;551.9552946991857;2024-09-25
DKKKM;GUATEMALA;CVE;10845.74598217168;2024-09-25
DKKKM;EURO;MWK;8062.424872938598;2024-09-25
DKKKM;TURKEY;NZD;217.5214201841414;2024-09-25
DKKKM;GAMBIA;CYP;9.995869671350988;2024-09-25
DKKKM;CHINA;BRL;125.1451370414982;2024-09-25
CJbcc;INDONESIA;ISK;26518.63086003214;2024-09-25
CJbcc;BOTSWANA;MGA;592801.9785853511;2024-09-25
CJbcc;QATAR;BND;243.9753670666994;2024-09-25
CJbcc;RUSSIAN FEDERATION;JPY;19048.71124929192;2024-09-25
CJbcc;CHILE;DOP;14686.73970527956;2024-09-25
CJbcc;IRAQ;SGD;84.70397941558747;2024-09-25
EJLLX;ARUBA;XPF;1089519.034018428;2024-09-25
EJLLX;SRI LANKA;RUB;266691.0282632944;2024-09-25
EJLLX;BAHRAIN;AZN;18139.72273680303;2024-09-25
EJLLX;SUDAN;DJF;1802499.839929604;2024-09-25
EJLLX;HONDURAS;GTQ;3270.82807891349;2024-09-25
EJLLX;EL SALVADOR;GBP;8207.084573435497;2024-09-25
EJLLX;KUWAIT;RWF;18414824.4360851;2024-09-25
EJLLX;LEBANON;SDG;4750572.373378156;2024-09-25
EJLLX;VANUATU;KES;1919069.213048721;2024-09-25
EJLLX;BULGARIA;MVR;180016.3293694154;2024-09-25
EJLLX;ICELAND;GMD;896338.6470405111;2024-09-25
EJLLX;ARGENTINA;BTN;421837.1786583829;2024-09-25
BHIMc;MADAGASCAR;BOB;58307.07670186427;2024-09-25
BHIMc;IRAN (ISLAMIC REPUBLIC OF);LRD;134282.4390278737;2024-09-25
BHIMc;DOMINICAN REPUBLIC;SZL;106969.0977668384;2024-09-25
BHIMc;KENYA;CZK;141785.6005782978;2024-09-25
BHIMc;BARBADOS;UAH;260933.5542592965;2024-09-25
BHIMc;DOMINICA;KHR;3026410.650140169;2024-09-25
BHIMc;SWEDEN;PEN;-235.7183391859173;2024-09-25
BHIMc;PAKISTAN;NAD;148304.4969920492;2024-09-25
BHIMc;RWANDA;HRK;39541.69464622372;2024-09-25
BHIMc;SOMALIA;SAR;19372.41008016091;2024-09-25
BHIMc;CHINA;SVC;6076.547029384401;2024-09-25
BHIMc;FRENCH POLYNESIA;TTD;21884.6089025318;2024-09-25
Mccc2;CAMBODIA;CVE;150759.19846071;2024-09-25
Mccc2;BAHRAIN;INR;732138.5045286341;2024-09-25
Mccc2;POLAND;CHF;2624.985341197856;2024-09-25
Mccc2;YEMEN;JPY;26282.0928747629;2024-09-25
Mccc2;CAYMAN ISLANDS;SYP;3903467.461037658;2024-09-25
Mccc2;SAMOA;BGN;9149.731459424313;2024-09-25
Mccc2;BOLIVIA;VES;173403.0858895091;2024-09-25
Mccc2;NICARAGUA;INR;117750.6031856324;2024-09-25
Mccc2;MYANMAR;PAB;6039.533577483775;2024-09-25
Mccc2;MEXICO;BHD;2479.654332577987;2024-09-25
BCHKc;HONDURAS;BBD;1976.081411740576;2024-09-25
BCHKc;INDIA;ZWL;571858.676407853;2024-09-25
BCHKc;BRAZIL;KYD;941.5505296303938;2024-09-25
BCHKc;VANUATU;GYD;15992.151219903;2024-09-25
BCHKc;TURKEY;NAD;12235.99827766929;2024-09-25
BCHKc;CHILE;SRD;18242.93752825351;2024-09-25
BCHKc;DJIBOUTI;TTD;5282.284908342204;2024-09-25
BCHKc;NAMIBIA;RSD;58325.89655482509;2024-09-25
BCHKc;SEYCHELLES;LAK;9757543.918293323;2024-09-25
