Client;Country;Currency;Transaction;Date
AKWWa;QATAR;COP;32835730.21492008;2024-10-25
AKWWa;GAMBIA;LBP;9947848.520003356;2024-10-25
AKWWa;DJIBOUTI;XCD;19419.25545505108;2024-10-25
AKWWa;BOLIVIA;UAH;282515.8492549504;2024-10-25
AKWWa;CAMBODIA;ZWL;2781040.2527044388;2024-10-25
AKWWa;KENYA;MMK;2738690.923427959;2024-10-25
AKWWa;PAPUA NEW GUINEA;MUR;203329.9060826029;2024-10-25
AKWWa;BELIZE;MWK;15893.177085930629;2024-10-25
AKWWa;QATAR;PYG;11504266.358003104;2024-10-25
AKWWa;HAITI;LYD;37587.45161602793;2024-10-25
AKWWa;TANZANIA, UNITED REPUBLIC OF;TND;6052.067166606726;2024-10-25
EEEXX;KOREA, REPUBLIC OF;DJF;66683.73770912383;2024-10-25
EEEXX;BHUTAN;BSD;117.804149619107;2024-10-25
EEEXX;JORDAN;QAR;8252.466323761875;2024-10-25
MNYaa;PHILIPPINES;FJD;12310.43066103286;2024-10-25
MNYaa;DOMINICA;SCR;24837.025815129346;2024-10-25
EMYb1;CHINA;LYD;3189.741275566663;2024-10-25
EMYb1;AZERBAIJAN;CRC;467290.1129087544;2024-10-25
EMYb1;JAMAICA;SAR;668.1437423605789;2024-10-25
EMYb1;LEBANON;MZN;95820.17257902576;2024-10-25
EMYb1;NAMIBIA;DJF;347108.0414317651;2024-10-25
DHIXb;MACAU;MVR;12286.276482209098;2024-10-25
DHIXb;SIERRA LEONE;GNF;40261059.0091331;2024-10-25
DHIXb;BURUNDI;HRK;-516.0643441595664;2024-10-25
DHIXb;MALDIVES;CZK;216869.4304390432;2024-10-25
DHIXb;CROATIA;PES;1156121.9036673803;2024-10-25
BDKb3;LATVIA;NOK;39646.246886337576;2024-10-25
BDKb3;MOZAMBIQUE;BMD;7407.425335237281;2024-10-25
BDKb3;UNITED KINGDOM;HRK;11059.28951465929;2024-10-25
BDKb3;BAHRAIN;KES;228727.11317321533;2024-10-25
BDKb3;BAHAMAS;TND;6755.8255546845085;2024-10-25
BDKb3;BRAZIL;THB;243838.20131367937;2024-10-25
BDKb3;ALGERIA;SAR;12245.275566042948;2024-10-25
BDKb3;DJIBOUTI;SEK;68117.17126535719;2024-10-25
BDKb3;ARUBA;DOP;367200.12516246864;2024-10-25
BDKb3;ALBANIA;LVL;220.11729854865217;2024-10-25
BDKb3;ROMANIA;JPY;854427.0075281649;2024-10-25
BDKb3;DOMINICAN REPUBLIC;KYD;1403.4990927660613;2024-10-25
BDKb3;BOTSWANA;ILS;4343.411967051351;2024-10-25
BDKb3;TONGA;KES;477086.6368937984;2024-10-25
BDKb3;NEPAL;SBD;62044.9837431731;2024-10-25
BDac2;CAYMAN ISLANDS;MRO;1689888.5996924017;2024-10-25
BDac2;ANGOLA;TWD;74692.0236108875;2024-10-25
BDac2;SURINAME;MRO;364254.69106116734;2024-10-25
BDac2;SRI LANKA;MGA;19265768.231439374;2024-10-25
BDac2;BERMUDA;UGX;5876924.278397663;2024-10-25
BDac2;BURUNDI;GTQ;23801.33361194299;2024-10-25
BDac2;SAO TOME AND PRINCIPE;SGD;1308.2200103376597;2024-10-25
BDac2;NAMIBIA;MMK;11418858.891066631;2024-10-25
BEHLM;PERU;BZD;3328.327763454505;2024-10-25
BEHLM;BELARUS;GHS;41969.28087161615;2024-10-25
BEHLM;CYPRUS;UGX;3471735.980982112;2024-10-25
BEHLM;SAO TOME AND PRINCIPE;MGA;10113684.467141926;2024-10-25
BEHLM;SOMALIA;LKR;1734871.8664866204;2024-10-25
BEHLM;SAO TOME AND PRINCIPE;ZWL;1619387.8021335388;2024-10-25
BEHLM;URUGUAY;BIF;1289932.699227622;2024-10-25
CLabb;PERU;NOK;5092.1838562804505;2024-10-25
CLabb;ARGENTINA;SDG;158913.63406951044;2024-10-25
CLabb;TURKEY;MYR;1982.3666171851407;2024-10-25
CLabb;POLAND;YER;199300.25031798444;2024-10-25
CLabb;ZAMBIA;GYD;174475.6233987645;2024-10-25
EJLMb;GUYANA;NPR;286568.9658650622;2024-10-25
EJLMb;NETHERLANDS ANTILLES;TWD;166403.9445801549;2024-10-25
EJLMb;BOTSWANA;THB;15212.78083996336;2024-10-25
EJLMb;SIERRA LEONE;LRD;434600.170738879;2024-10-25
KMVVb;TRINIDAD AND TOBAGO;CZK;44133.549173348205;2024-10-25
KMVVb;DJIBOUTI;MMK;586995.0487140144;2024-10-25
KMVVb;THAILAND;SEK;26393.40809420513;2024-10-25
KMVVb;ICELAND;BWP;42605.72765170829;2024-10-25
KMVVb;AUSTRALIA;BGN;1068.1796912155698;2024-10-25
KMVVb;COLOMBIA;NIO;24797.5708793302;2024-10-25
KMVVb;SOMALIA;SDG;286526.78051244305;2024-10-25
KMVVb;BOLIVIA;SEK;21192.77149929858;2024-10-25
KMVVb;KUWAIT;UAH;23264.193645340023;2024-10-25
KMVVb;TRINIDAD AND TOBAGO;CNY;17491.74127563672;2024-10-25
KKLcc;UKRAINE;SRD;156789.15729567135;2024-10-25
KKLcc;MALDIVES;CVE;875824.477898728;2024-10-25
KKLcc;MAURITANIA;SEK;21123.07438957322;2024-10-25
KKLcc;CYPRUS;NAD;216301.2495740189;2024-10-25
KKLcc;SOMALIA;DKK;65675.74914710388;2024-10-25
KKLcc;PAPUA NEW GUINEA;TND;2797.344190195889;2024-10-25
KMZ12;CHILE;MUR;1219633.1294992662;2024-10-25
KMZ12;FRENCH POLYNESIA;ARS;4228292.407198193;2024-10-25
KMZ12;BRUNEI DARUSSALAM;DKK;14189.715651190512;2024-10-25
DJJMM;SYRIAN ARAB REPUBLIC;PHP;6420.741027747402;2024-10-25
DJJMM;BURUNDI;INR;26746.389979264954;2024-10-25
DJJMM;VANUATU;DZD;62264.79995360758;2024-10-25
DJJMM;KAZAKHSTAN;CZK;8946.348112442995;2024-10-25
BXXZb;JAPAN;KYD;543.9109970195599;2024-10-25
