Client;Country;Currency;Transaction;Date
KLVZc;SOLOMON ISLANDS;SBD;1090.2031434649025;2024-11-08
KLVZc;TUNISIA;NAD;56789.186485006474;2024-11-08
KLVZc;NEW ZEALAND;BZD;10292.178025927007;2024-11-08
KLVZc;BRAZIL;BDT;579204.5087721394;2024-11-08
KLVZc;GUYANA;UGX;1791796.32008241;2024-11-08
KLVZc;UNITED ARAB EMIRATES;HRK;11358.070802946497;2024-11-08
KLVZc;FIJI;SGD;6569.15705684158;2024-11-08
KLVZc;MEXICO;TWD;137592.26134769164;2024-11-08
KLVZc;MOZAMBIQUE;JMD;48454.101521475335;2024-11-08
KLVZc;MALAYSIA;AUD;1709.7909178478246;2024-11-08
KLVZc;INDONESIA;BHD;2078.9192715348677;2024-11-08
KLVZc;FIJI;ALL;199180.77255513592;2024-11-08
KLVZc;MADAGASCAR;CYP;2385.685490041574;2024-11-08
CEJKN;SOLOMON ISLANDS;BIF;49690499.21112964;2024-11-08
CEJKN;TRINIDAD AND TOBAGO;DZD;933139.898538975;2024-11-08
CEJKN;SAO TOME AND PRINCIPE;KWD;6050.835411691698;2024-11-08
CEJKN;ISRAEL;MGA;118240420.04293165;2024-11-08
CEJKN;VENEZUELA;PES;577334.4367591717;2024-11-08
CEJKN;SAMOA;MRO;7978793.198499205;2024-11-08
CEJKN;CZECH REPUBLIC;ARS;4903228.012462084;2024-11-08
CEJKN;BARBADOS;RUB;550469.9371938859;2024-11-08
CEJKN;VIET NAM;HTG;2299127.398063945;2024-11-08
CEJKN;BAHAMAS;MXN;224576.7108081286;2024-11-08
CEJKN;KUWAIT;LAK;622394313.100162;2024-11-08
CEJKN;JAPAN;EGP;485950.73234585393;2024-11-08
DMZbc;ZAMBIA;KWD;4456.051658960782;2024-11-08
KMa11;BELARUS;ISK;579735.9118637863;2024-11-08
KMa11;KENYA;RON;3119.772927033335;2024-11-08
KMa11;FIJI;SEK;5440.931339389968;2024-11-08
KMa11;DOMINICA;VES;28218.310746986623;2024-11-08
KMa11;SOLOMON ISLANDS;MGA;6859136.127150575;2024-11-08
KMa11;CHINA;DJF;242086.0088743039;2024-11-08
KMa11;CYPRUS;TOP;6265.713021619981;2024-11-08
KMa11;NETHERLANDS ANTILLES;CAD;5610.893408960688;2024-11-08
KMa11;BERMUDA;GMD;105662.95383063538;2024-11-08
KMa11;GUINEA;IQD;4839812.761318483;2024-11-08
KMa11;FRENCH POLYNESIA;QAR;12399.384140294716;2024-11-08
KMa11;CAMBODIA;AZN;7489.445546609122;2024-11-08
KMa11;SOMALIA;CNY;9454.907052514023;2024-11-08
DDYZZ;ALBANIA;LAK;231264402.65575588;2024-11-08
DDYZZ;LIBERIA;IQD;12901364.822772527;2024-11-08
DDYZZ;LEBANON;OMR;6187.892482003024;2024-11-08
DDYZZ;VENEZUELA;PLN;89900.53356207855;2024-11-08
DDYZZ;PHILIPPINES;ANG;30309.303986475898;2024-11-08
