Client;Country;Currency;Transaction;Date
FMNNc;YEMEN;TOP;7274.68090587048;2024-12-25
FMNNc;MAURITIUS;RUB;136134.0692742817;2024-12-25
FMNNc;PANAMA;RUB;311081.239456686;2024-12-25
FMNNc;SWITZERLAND;ZWL;316056.9688416606;2024-12-25
FMNNc;ZAMBIA;CZK;19209.82762114342;2024-12-25
FMNNc;COLOMBIA;TWD;134509.8654120284;2024-12-25
FMNNc;LIBYAN ARAB JAMAHIRIYA;XPF;707420.9910202674;2024-12-25
FMNNc;SWAZILAND;PLN;19115.77040709084;2024-12-25
FMNNc;JAMAICA;CAD;6275.164273283631;2024-12-25
FMNNc;URUGUAY;NOK;67392.46862069226;2024-12-25
FMNNc;UNITED ARAB EMIRATES;RUB;478774.971226805;2024-12-25
FMNNc;BOTSWANA;SCR;27141.44419239158;2024-12-25
ABLNV;GAMBIA;ARS;855225.4554446447;2024-12-25
ABLNV;CHILE;ALL;130505.6250264111;2024-12-25
ABLNV;RWANDA;SYP;2516647.990574886;2024-12-25
ABLNV;SAUDI ARABIA;MOP;31869.15788069382;2024-12-25
ABLNV;SAO TOME AND PRINCIPE;BDT;506275.732674978;2024-12-25
ABLNV;CYPRUS;MRO;1655103.970309606;2024-12-25
ABLNV;GUATEMALA;NOK;10566.98240955561;2024-12-25
ABLNV;ARGENTINA;BZD;10501.7564230201;2024-12-25
ABLNV;QATAR;AWG;246.8618469784497;2024-12-25
ABLNV;ETHIOPIA;NPR;381850.4636067563;2024-12-25
ABLNV;FRENCH POLYNESIA;AED;10880.92027853671;2024-12-25
ABLNV;MADAGASCAR;OMR;1530.741168753084;2024-12-25
ABLNV;SEYCHELLES;EUR;1306.6537009151;2024-12-25
ABLNV;SYRIAN ARAB REPUBLIC;VND;40119528.04849875;2024-12-25
ABLNV;RUSSIAN FEDERATION;XAF;2808587.109092851;2024-12-25
ILW22;LIBYAN ARAB JAMAHIRIYA;PYG;11481745.8132825;2024-12-25
ILW22;BOLIVIA;EUR;345.5458110608888;2024-12-25
ILW22;MAURITIUS;KES;231355.667538603;2024-12-25
ILW22;ICELAND;ANG;922.9723344526687;2024-12-25
ILW22;GHANA;SRD;53783.8864066428;2024-12-25
ILW22;DENMARK;COP;1250004.859265229;2024-12-25
ILW22;MALAYSIA;BND;1727.440130101244;2024-12-25
ILW22;TAIWAN, PROVINCE OF CHINA;BBD;2771.439345113766;2024-12-25
ILW22;NEPAL;BND;2488.611749649516;2024-12-25
ILW22;PERU;CZK;26034.54138557829;2024-12-25
ILW22;SAUDI ARABIA;ZWL;949523.2923174888;2024-12-25
ILW22;BELIZE;MZN;114006.5776914367;2024-12-25
ILW22;IRAQ;BND;3030.807741207807;2024-12-25
ILW22;SAUDI ARABIA;INR;159950.4223634556;2024-12-25
ILW22;BOLIVIA;NIO;68307.31796626904;2024-12-25
ILW22;PERU;PES;393948.162186021;2024-12-25
ILW22;VANUATU;AED;1188.810427648193;2024-12-25
ILW22;ARUBA;HKD;1301.168969101059;2024-12-25
ILW22;HAITI;PHP;23196.11912706856;2024-12-25
ILW22;SERBIA;CRC;569465.2805343485;2024-12-25
FFbb2;KAZAKHSTAN;BWP;114985.5945929089;2024-12-25
FFbb2;BRUNEI DARUSSALAM;MVR;8714.035170720092;2024-12-25
FFbb2;RUSSIAN FEDERATION;HRK;84811.31864210311;2024-12-25
FFbb2;BRAZIL;BHD;1900.86446046929;2024-12-25
FFbb2;EURO;PAB;7240.915761698628;2024-12-25
FFbb2;CAPE VERDE;GMD;521930.7646663156;2024-12-25
FFbb2;BHUTAN;MYR;79324.54463861481;2024-12-25
FFbb2;QATAR;MAD;86839.25139184037;2024-12-25
FFbb2;TANZANIA, UNITED REPUBLIC OF;UGX;63710624.35198191;2024-12-25
FFbb2;GAMBIA;WST;45108.09225303097;2024-12-25
FFbb2;MALDIVES;GTQ;4128.557868039111;2024-12-25
FFbb2;URUGUAY;BSD;12820.60870885828;2024-12-25
FFbb2;MAURITANIA;RON;27750.99257491352;2024-12-25
FFbb2;BARBADOS;NPR;2047057.65609282;2024-12-25
FFbb2;VENEZUELA;DZD;2303504.309224483;2024-12-25
DJYbc;NIGERIA;ISK;91759.35784987334;2024-12-25
FLVWb;KAZAKHSTAN;CNY;24294.60273678648;2024-12-25
FLVWb;SIERRA LEONE;ISK;224467.6277144617;2024-12-25
FLVWb;SURINAME;SLL;22082331.33870811;2024-12-25
FLVWb;TRINIDAD AND TOBAGO;KRW;110063.1210634921;2024-12-25
FLVWb;PERU;HTG;528109.921070959;2024-12-25
FLVWb;ANGOLA;LRD;54352.77983028732;2024-12-25
FLVWb;SERBIA;KZT;360485.4067018356;2024-12-25
FLVWb;ETHIOPIA;AUD;5433.089961266844;2024-12-25
FLVWb;FRENCH POLYNESIA;UGX;6683362.664336368;2024-12-25
FLVWb;KENYA;NAD;19491.05866057161;2024-12-25
FLVWb;KAZAKHSTAN;NIO;103138.3033711623;2024-12-25
FLVWb;BARBADOS;BZD;7003.502800174131;2024-12-25
FLVWb;BANGLADESH;BMD;1080.017738834397;2024-12-25
FLVWb;GUINEA;OMR;647.7405373333331;2024-12-25
FLVWb;EGYPT;EGP;65917.08080606916;2024-12-25
AVW33;PARAGUAY;BGN;3612.325606935964;2024-12-25
AVW33;VENEZUELA;AZN;9393.019315523905;2024-12-25
AVW33;SWEDEN;CVE;732057.7772304056;2024-12-25
AVW33;SOMALIA;MVR;14547.37866774444;2024-12-25
AVW33;CAMBODIA;MWK;6403258.787761063;2024-12-25
AVW33;SAUDI ARABIA;MXN;181707.9983306824;2024-12-25
AVW33;ISRAEL;EGP;33310.59979518183;2024-12-25
AVW33;LAO PEOPLE'S DEMOCRATIC REP;EGP;82979.08341835474;2024-12-25
AVW33;MOROCCO;BSD;8309.168709038051;2024-12-25
AVW33;ROMANIA;UGX;1696707.597072693;2024-12-25
AVW33;FRENCH POLYNESIA;JPY;1105576.715149587;2024-12-25
AVW33;DENMARK;VES;158254.5460420071;2024-12-25
AHII2;LIBERIA;BZD;145.2530989235695;2024-12-25
AHII2;TOGO;BOB;1871.668494962515;2024-12-25
AHII2;CENTRAL AFRICAN REPUBLIC;FJD;3989.526287018474;2024-12-25
AHII2;UGANDA;CRC;146445.9920289777;2024-12-25
AHII2;BANGLADESH;SBD;17067.28475201934;2024-12-25
AHII2;TAIWAN, PROVINCE OF CHINA;NZD;2538.791034087648;2024-12-25
AHII2;KUWAIT;MOP;2654.002832783176;2024-12-25
AHII2;SAO TOME AND PRINCIPE;JPY;57218.55928743831;2024-12-25
AHII2;CAPE VERDE;MGA;10274848.50602414;2024-12-25
AHII2;MALAYSIA;MOP;6640.43227172242;2024-12-25
AHII2;THAILAND;XAF;1062767.343140836;2024-12-25
AHII2;HONG KONG;LBP;2140506.716481447;2024-12-25
AHII2;AZERBAIJAN;KHR;72682.40309308475;2024-12-25
AHII2;CANADA;SBD;3438.83084792252;2024-12-25
AHII2;PAKISTAN;CNY;9167.780595091952;2024-12-25
AHII2;BERMUDA;MVR;36943.22188116729;2024-12-25
AHII2;CENTRAL AFRICAN REPUBLIC;KHR;9301111.214281214;2024-12-25
AHII2;ROMANIA;AZN;1964.051461160385;2024-12-25
AHII2;VANUATU;RWF;408261.4312963584;2024-12-25
AHII2;CAPE VERDE;AOA;538792.9389964676;2024-12-25
FFGGZ;BOTSWANA;DKK;605427.8749382605;2024-12-25
FFGGZ;SOLOMON ISLANDS;NOK;806602.0554282351;2024-12-25
FFGGZ;UGANDA;BTN;5646259.902226153;2024-12-25
FFGGZ;FIJI;MXN;1601313.32760284;2024-12-25
FFGGZ;URUGUAY;HNL;1635009.350655462;2024-12-25
FFGGZ;MALAYSIA;GMD;711289.2116330068;2024-12-25
FFGGZ;LIBERIA;MZN;2690175.129093314;2024-12-25
FFGGZ;MAURITANIA;DZD;6736669.23342546;2024-12-25
FFGGZ;MYANMAR;SLL;1556994971.709056;2024-12-25
FFGGZ;BRUNEI DARUSSALAM;IQD;93489869.54249623;2024-12-25
FFGGZ;SWEDEN;SEK;198177.9329945814;2024-12-25
FFGGZ;ANGOLA;MXN;1564899.558922539;2024-12-25
FFGGZ;ARUBA;EUR;16648.38099059578;2024-12-25
FFGGZ;SOUTH AFRICA;TND;163370.4176736104;2024-12-25
FFGGZ;ZIMBABWE;LRD;1169585.370064044;2024-12-25
FFGGZ;BRAZIL;PEN;33736.85831346469;2024-12-25
FFGGZ;UNITED ARAB EMIRATES;EGP;640578.2919891202;2024-12-25
GJK23;BAHAMAS;ALL;876361.8876271526;2024-12-25
GJK23;MAURITANIA;SYP;168589.3911650435;2024-12-25
GJK23;TRINIDAD AND TOBAGO;IQD;56631233.40360896;2024-12-25
GJK23;ICELAND;AOA;15142148.8730961;2024-12-25
GJK23;HUNGARY;ILS;194054.9315902209;2024-12-25
GJK23;TONGA;TND;22346.43240495668;2024-12-25
GJK23;HONG KONG;ISK;4120509.219276445;2024-12-25
GJK23;DOMINICA;MYR;21577.98777103968;2024-12-25
GJK23;POLAND;MWK;47125128.62819147;2024-12-25
GJK23;TAIWAN, PROVINCE OF CHINA;KYD;45658.90475958868;2024-12-25
GJK23;EL SALVADOR;RUB;992962.232335837;2024-12-25
GJK23;BELIZE;SRD;262005.7812906022;2024-12-25
GJK23;BRAZIL;PES;11147618.60624034;2024-12-25
BDDMa;BULGARIA;LKR;1621281.816492573;2024-12-25
BDDMa;CHILE;GTQ;125925.394601773;2024-12-25
BDDMa;RUSSIAN FEDERATION;COP;34082479.25603476;2024-12-25
BDDMa;NORWAY;SCR;45622.76199343938;2024-12-25
BDDMa;BERMUDA;PGK;16602.61604099645;2024-12-25
BDDMa;NEPAL;AUD;24789.93329464297;2024-12-25
BDDMa;SIERRA LEONE;MXN;159566.0084469575;2024-12-25
BDDMa;ZAMBIA;IRR;65638363.60302909;2024-12-25
BDDMa;SURINAME;CRC;5656835.884735827;2024-12-25
BDDMa;PHILIPPINES;KES;1926292.801861671;2024-12-25
BDDMa;ANGOLA;LYD;4760.227422609622;2024-12-25
BDDMa;MACAU;LYD;47099.37223973675;2024-12-25
BDDMa;TRINIDAD AND TOBAGO;ISK;1803738.453935018;2024-12-25
BDDMa;RWANDA;AWG;6009.094256317906;2024-12-25
BDDMa;RWANDA;ISK;1073557.088817702;2024-12-25
BDDMa;NICARAGUA;NOK;167702.2201893912;2024-12-25
BDDMa;DOMINICAN REPUBLIC;CLP;15823476.95416745;2024-12-25
CJXc3;KUWAIT;KWD;987.3094222264216;2024-12-25
CJXc3;INDONESIA;PLN;15274.61372423677;2024-12-25
CJXc3;SWAZILAND;MYR;39981.21237950608;2024-12-25
CJXc3;EURO;SDG;840560.5829636552;2024-12-25
CJXc3;BOLIVIA;IQD;11736212.95619933;2024-12-25
CJXc3;CZECH REPUBLIC;TND;4260.717889403406;2024-12-25
CJXc3;MALAWI;KHR;5062961.097592698;2024-12-25
CJXc3;BELIZE;CRC;2338349.123799212;2024-12-25
CJXc3;BRUNEI DARUSSALAM;BZD;2095.631926309298;2024-12-25
CJXc3;SUDAN;QAR;28220.8757919303;2024-12-25
CJXc3;ZIMBABWE;ZWL;5610033.175224782;2024-12-25
CJXc3;NORWAY;KES;80191.44337289412;2024-12-25
CJXc3;SYRIAN ARAB REPUBLIC;STD;153022627.0612417;2024-12-25
CJXc3;GUINEA;PGK;17726.88933485647;2024-12-25
CJXc3;BAHRAIN;PKR;1668949.058002468;2024-12-25
CJXc3;DENMARK;DKK;36732.42728380919;2024-12-25
CJXc3;BELIZE;RSD;883840.4546096632;2024-12-25
CJXc3;PERU;MUR;107801.5201166925;2024-12-25
CJXc3;QATAR;PLN;11183.79880845216;2024-12-25
CJXc3;BERMUDA;LAK;31564990.46747027;2024-12-25
CGIXZ;KAZAKHSTAN;ETB;26371.34558824547;2024-12-25
CGIXZ;COSTA RICA;XCD;10923.89243191478;2024-12-25
CGIXZ;MAURITIUS;BDT;764065.9810747472;2024-12-25
CGIXZ;CHINA;BIF;9154014.29711668;2024-12-25
CGIXZ;CAMBODIA;COP;6501196.793756522;2024-12-25
CGIXZ;ARUBA;MRO;1749664.287149964;2024-12-25
CGIXZ;PERU;HNL;98837.16520553154;2024-12-25
