Client;Country;Currency;Transaction;Date;SourceFile;SourceFolder
HMNXX;CAMBODIA;KES;529219.5459253388;2024-04-09;DataTrans_1.csv;09-04-24
HMNXX;CAMBODIA;TZS;12699181.15471576;2024-04-09;DataTrans_1.csv;09-04-24
HMNXX;DJIBOUTI;HNL;17202.31273434562;2024-04-09;DataTrans_1.csv;09-04-24
HMNXX;BRUNEI DARUSSALAM;BSD;2793.135322272573;2024-04-09;DataTrans_1.csv;09-04-24
HMNXX;SOUTH AFRICA;XCD;7353.275814151813;2024-04-09;DataTrans_1.csv;09-04-24
HMNXX;BARBADOS;ALL;67894.98077644288;2024-04-09;DataTrans_1.csv;09-04-24
HMNXX;PAPUA NEW GUINEA;MZN;239608.3479089185;2024-04-09;DataTrans_1.csv;09-04-24
HMNXX;TURKEY;SAR;9122.533033340767;2024-04-09;DataTrans_1.csv;09-04-24
HMNXX;FIJI;GBP;4442.662656252384;2024-04-09;DataTrans_1.csv;09-04-24
HKV13;GUINEA;GMD;641545.5030421972;2024-04-09;DataTrans_1.csv;09-04-24
HKV13;SEYCHELLES;DOP;684079.3183889082;2024-04-09;DataTrans_1.csv;09-04-24
HKV13;RUSSIAN FEDERATION;SCR;54622.4740306118;2024-04-09;DataTrans_1.csv;09-04-24
HKV13;TAIWAN, PROVINCE OF CHINA;AED;52577.0292518355;2024-04-09;DataTrans_1.csv;09-04-24
HKV13;TURKEY;SVC;117286.1284748501;2024-04-09;DataTrans_1.csv;09-04-24
HKV13;SWEDEN;MVR;53683.56076785796;2024-04-09;DataTrans_1.csv;09-04-24
BJJNV;BULGARIA;KES;228141.8893298859;2024-04-09;DataTrans_1.csv;09-04-24
BJJNV;BERMUDA;BTN;107737.9034169948;2024-04-09;DataTrans_1.csv;09-04-24
BJJNV;GUINEA;RON;17405.82155485918;2024-04-09;DataTrans_1.csv;09-04-24
BJJNV;PHILIPPINES;SEK;25295.68704088534;2024-04-09;DataTrans_1.csv;09-04-24
BJJNV;THAILAND;EGP;100822.9766995324;2024-04-09;DataTrans_1.csv;09-04-24
BJJNV;PAKISTAN;RSD;229828.6234446494;2024-04-09;DataTrans_1.csv;09-04-24
BJJNV;TONGA;SYP;1470124.759577607;2024-04-09;DataTrans_1.csv;09-04-24
BJJNV;BOLIVIA;MZN;214752.338389132;2024-04-09;DataTrans_1.csv;09-04-24
BJJNV;GUATEMALA;MRO;24604.90778661689;2024-04-09;DataTrans_1.csv;09-04-24
BJJNV;CANADA;VND;62408621.04626472;2024-04-09;DataTrans_1.csv;09-04-24
BJJNV;BOTSWANA;AUD;1710.219287687642;2024-04-09;DataTrans_1.csv;09-04-24
BJJNV;ALBANIA;BDT;159578.6538739345;2024-04-09;DataTrans_1.csv;09-04-24
BJJNV;VANUATU;YER;240659.2060355605;2024-04-09;DataTrans_1.csv;09-04-24
BEJMV;KAZAKHSTAN;ZWL;1175867.552839047;2024-04-09;DataTrans_1.csv;09-04-24
BEJMV;EL SALVADOR;ZMW;4572.998887204163;2024-04-09;DataTrans_1.csv;09-04-24
BEJMV;SWITZERLAND;VES;26983.38041366739;2024-04-09;DataTrans_1.csv;09-04-24
BEJMV;PERU;LRD;64426.1159590655;2024-04-09;DataTrans_1.csv;09-04-24
BEJMV;SIERRA LEONE;SVC;21156.3194447975;2024-04-09;DataTrans_1.csv;09-04-24
EEKMV;CENTRAL AFRICAN REPUBLIC;GMD;47790.49769343637;2024-04-09;DataTrans_1.csv;09-04-24
EEKMV;GUINEA;HTG;110788.6470770727;2024-04-09;DataTrans_1.csv;09-04-24
EEKMV;CAPE VERDE;MWK;3312948.156537066;2024-04-09;DataTrans_1.csv;09-04-24
EEKMV;BHUTAN;ILS;37.3106663372787;2024-04-09;DataTrans_1.csv;09-04-24
EEKMV;POLAND;SRD;22935.98457562556;2024-04-09;DataTrans_1.csv;09-04-24
EEKMV;BURUNDI;CHF;1566.475191004106;2024-04-09;DataTrans_1.csv;09-04-24
MYYY3;LIBERIA;BIF;94578.0589681361;2024-04-09;DataTrans_1.csv;09-04-24
MYYY3;GAMBIA;NPR;16077.11097440841;2024-04-09;DataTrans_1.csv;09-04-24
MYYY3;COSTA RICA;BWP;585.441451643537;2024-04-09;DataTrans_1.csv;09-04-24
MYYY3;PANAMA;ETB;551.3429916574114;2024-04-09;DataTrans_1.csv;09-04-24
MYYY3;INDIA;UYU;1816.753936988803;2024-04-09;DataTrans_1.csv;09-04-24
MYYY3;PANAMA;KES;12186.38235073508;2024-04-09;DataTrans_1.csv;09-04-24
MYYY3;COLOMBIA;BIF;15832.32825294802;2024-04-09;DataTrans_1.csv;09-04-24
MYYY3;BOLIVIA;IDR;1078727.263870599;2024-04-09;DataTrans_1.csv;09-04-24
MYYY3;VENEZUELA;BHD;25.4912321561234;2024-04-09;DataTrans_1.csv;09-04-24
MYYY3;DJIBOUTI;FJD;294.9588966331939;2024-04-09;DataTrans_1.csv;09-04-24
MYYY3;BAHRAIN;SLL;1766769.556334753;2024-04-09;DataTrans_1.csv;09-04-24
MYYY3;NIGERIA;PKR;10289.37370676398;2024-04-09;DataTrans_1.csv;09-04-24
MYYY3;ZAMBIA;TOP;257.6219981645988;2024-04-09;DataTrans_1.csv;09-04-24
MYYY3;PERU;FJD;58.1094886611037;2024-04-09;DataTrans_1.csv;09-04-24
MYYY3;ARGENTINA;BSD;102.4154729275157;2024-04-09;DataTrans_1.csv;09-04-24
MYYY3;GHANA;PHP;3968.035393798958;2024-04-09;DataTrans_1.csv;09-04-24
CKMWZ;UNITED ARAB EMIRATES;VES;122016.8048788227;2024-04-09;DataTrans_1.csv;09-04-24
CKMWZ;SYRIAN ARAB REPUBLIC;LVL;822.9321203294622;2024-04-09;DataTrans_1.csv;09-04-24
CKMWZ;TURKEY;ANG;8491.345427884322;2024-04-09;DataTrans_1.csv;09-04-24
CKMWZ;BELIZE;BTN;1597150.986382567;2024-04-09;DataTrans_1.csv;09-04-24
CKMWZ;UGANDA;SAR;66943.1906033451;2024-04-09;DataTrans_1.csv;09-04-24
CKMWZ;LAO PEOPLE'S DEMOCRATIC REP;VND;78936383.9056942;2024-04-09;DataTrans_1.csv;09-04-24
CKMWZ;NEPAL;MYR;97638.0920571975;2024-04-09;DataTrans_1.csv;09-04-24
CKMWZ;LEBANON;MVR;288441.5089407878;2024-04-09;DataTrans_1.csv;09-04-24
CKMWZ;PHILIPPINES;BWP;50626.51989185229;2024-04-09;DataTrans_1.csv;09-04-24
CKMWZ;KOREA, REPUBLIC OF;VES;14386.47379666375;2024-04-09;DataTrans_1.csv;09-04-24
CKMWZ;MEXICO;OMR;2576.583359606292;2024-04-09;DataTrans_1.csv;09-04-24
CGGNW;SYRIAN ARAB REPUBLIC;SZL;3076.435728844156;2024-04-09;DataTrans_1.csv;09-04-24
CGGNW;BANGLADESH;MOP;13313.32507356441;2024-04-09;DataTrans_1.csv;09-04-24
CGGNW;AZERBAIJAN;EUR;827.3794453500324;2024-04-09;DataTrans_1.csv;09-04-24
CGGNW;KENYA;RSD;65792.43499935327;2024-04-09;DataTrans_1.csv;09-04-24
CGGNW;BAHRAIN;ETB;89621.98971200707;2024-04-09;DataTrans_1.csv;09-04-24
CGGNW;ZIMBABWE;NZD;1284.345483188661;2024-04-09;DataTrans_1.csv;09-04-24
CGGNW;FRENCH POLYNESIA;LBP;2439488.503342786;2024-04-09;DataTrans_1.csv;09-04-24
CGGNW;SERBIA;LVL;1132.72850896097;2024-04-09;DataTrans_1.csv;09-04-24
CGGNW;NICARAGUA;GNF;4893466.486093165;2024-04-09;DataTrans_1.csv;09-04-24
CGGNW;BAHAMAS;XAF;839579.1832900785;2024-04-09;DataTrans_1.csv;09-04-24
CGGNW;BHUTAN;NPR;17431.33510953781;2024-04-09;DataTrans_1.csv;09-04-24
CGGNW;BARBADOS;LBP;468164.4407939204;2024-04-09;DataTrans_1.csv;09-04-24
CGGNW;CAMBODIA;KZT;618279.4946430962;2024-04-09;DataTrans_1.csv;09-04-24
CGGNW;NEPAL;CRC;329406.6772416041;2024-04-09;DataTrans_1.csv;09-04-24
CGGNW;ANGOLA;AZN;168.6470399874323;2024-04-09;DataTrans_1.csv;09-04-24
CGGNW;GUINEA;SAR;321.7543938428781;2024-04-09;DataTrans_1.csv;09-04-24
CGGNW;NEPAL;INR;137313.1722128423;2024-04-09;DataTrans_1.csv;09-04-24
CGGNW;TONGA;TZS;856395.3824657763;2024-04-09;DataTrans_1.csv;09-04-24
MXWa2;TOGO;YER;2631336.953731616;2024-04-09;DataTrans_1.csv;09-04-24
MXWa2;TUNISIA;SEK;113261.2797086336;2024-04-09;DataTrans_1.csv;09-04-24
MXWa2;FIJI;TWD;429421.7325338686;2024-04-09;DataTrans_1.csv;09-04-24
MXWa2;GAMBIA;SZL;78989.8486644838;2024-04-09;DataTrans_1.csv;09-04-24
MXWa2;BHUTAN;TND;42515.85281983661;2024-04-09;DataTrans_1.csv;09-04-24
MXWa2;SAO TOME AND PRINCIPE;IDR;192366998.0223433;2024-04-09;DataTrans_1.csv;09-04-24
MXWa2;MADAGASCAR;LAK;220570327.3915059;2024-04-09;DataTrans_1.csv;09-04-24
MXWa2;SURINAME;GNF;87759539.30818105;2024-04-09;DataTrans_1.csv;09-04-24
MXWa2;BULGARIA;BSD;11865.35613390026;2024-04-09;DataTrans_1.csv;09-04-24
IYYc2;NORWAY;MVR;32.2902003920401;2024-04-09;DataTrans_1.csv;09-04-24
IYYc2;AUSTRALIA;INR;3.887485690619622;2024-04-09;DataTrans_1.csv;09-04-24
IYYc2;PHILIPPINES;RWF;1734.073212694618;2024-04-09;DataTrans_1.csv;09-04-24
IYYc2;DENMARK;MYR;13.62324884049162;2024-04-09;DataTrans_1.csv;09-04-24
IYYc2;BRUNEI DARUSSALAM;KZT;1529.598486311284;2024-04-09;DataTrans_1.csv;09-04-24
IYYc2;GUYANA;TTD;12.90259096797454;2024-04-09;DataTrans_1.csv;09-04-24
