Client;Country;Currency;Transaction;Date;SourceFile;SourceFolder
BNXXa;ARUBA;GMD;1198549.57729223;2024-05-14;DataTrans_1.csv;14-05-24
BNXXa;CYPRUS;ILS;11867.02606561815;2024-05-14;DataTrans_1.csv;14-05-24
BNXXa;CROATIA;CHF;12789.05042202752;2024-05-14;DataTrans_1.csv;14-05-24
BNXXa;TRINIDAD AND TOBAGO;XAF;3521771.63729043;2024-05-14;DataTrans_1.csv;14-05-24
BNXXa;NAMIBIA;ZAR;352234.2255935238;2024-05-14;DataTrans_1.csv;14-05-24
BNXXa;INDIA;RWF;15908987.81698336;2024-05-14;DataTrans_1.csv;14-05-24
BNXXa;INDIA;GMD;1227057.382392623;2024-05-14;DataTrans_1.csv;14-05-24
BNXXa;SAO TOME AND PRINCIPE;CRC;4676091.129884181;2024-05-14;DataTrans_1.csv;14-05-24
BNXXa;COLOMBIA;BIF;17703004.83752106;2024-05-14;DataTrans_1.csv;14-05-24
BNXXa;MAURITANIA;KZT;1987062.146693774;2024-05-14;DataTrans_1.csv;14-05-24
BNXXa;BERMUDA;THB;166094.0770673626;2024-05-14;DataTrans_1.csv;14-05-24
BNXXa;SWEDEN;IDR;14536987.07703656;2024-05-14;DataTrans_1.csv;14-05-24
BNXXa;POLAND;PKR;1893835.226369424;2024-05-14;DataTrans_1.csv;14-05-24
BNXXa;POLAND;PES;1178816.883265547;2024-05-14;DataTrans_1.csv;14-05-24
CEFIa;TANZANIA, UNITED REPUBLIC OF;NOK;316472.5951674516;2024-05-14;DataTrans_1.csv;14-05-24
CEFIa;BANGLADESH;TWD;1201103.688721086;2024-05-14;DataTrans_1.csv;14-05-24
CEFIa;SWEDEN;RON;351200.0801096032;2024-05-14;DataTrans_1.csv;14-05-24
CEFIa;SOMALIA;HKD;87391.9143135904;2024-05-14;DataTrans_1.csv;14-05-24
CEFIa;MACAU;IDR;423704100.4054427;2024-05-14;DataTrans_1.csv;14-05-24
CEFIa;MALAYSIA;BIF;94221069.1113623;2024-05-14;DataTrans_1.csv;14-05-24
CEFIa;COSTA RICA;SYP;31074557.9821288;2024-05-14;DataTrans_1.csv;14-05-24
CEFIa;SRI LANKA;BOB;50620.46525103393;2024-05-14;DataTrans_1.csv;14-05-24
CEFIa;URUGUAY;STD;470791219.7762864;2024-05-14;DataTrans_1.csv;14-05-24
CEFIa;ALBANIA;AZN;110154.0579449713;2024-05-14;DataTrans_1.csv;14-05-24
CEFIa;SWAZILAND;CYP;16078.41106253952;2024-05-14;DataTrans_1.csv;14-05-24
CEFIa;BANGLADESH;JOD;28595.26527271412;2024-05-14;DataTrans_1.csv;14-05-24
CEFIa;AUSTRALIA;PYG;277572571.8135406;2024-05-14;DataTrans_1.csv;14-05-24
CEFIa;COSTA RICA;GTQ;270595.3686369269;2024-05-14;DataTrans_1.csv;14-05-24
CEFIa;PERU;MZN;1452057.467354778;2024-05-14;DataTrans_1.csv;14-05-24
CEFIa;SOLOMON ISLANDS;MMK;152844250.429416;2024-05-14;DataTrans_1.csv;14-05-24
YYaaa;KENYA;TRY;2262.538049367086;2024-05-14;DataTrans_1.csv;14-05-24
YYaaa;BARBADOS;CLP;371779.9666290687;2024-05-14;DataTrans_1.csv;14-05-24
YYaaa;TAIWAN, PROVINCE OF CHINA;TZS;3711936.491352035;2024-05-14;DataTrans_1.csv;14-05-24
YYaaa;SUDAN;CRC;382760.2095200639;2024-05-14;DataTrans_1.csv;14-05-24
YYaaa;BHUTAN;CLP;-8921.262666417419;2024-05-14;DataTrans_1.csv;14-05-24
YYaaa;BOTSWANA;VND;24442711.12275293;2024-05-14;DataTrans_1.csv;14-05-24
YYaaa;JAPAN;MYR;6804.057610849295;2024-05-14;DataTrans_1.csv;14-05-24
YYaaa;MAURITIUS;BIF;3029225.690368956;2024-05-14;DataTrans_1.csv;14-05-24
HKLY3;TOGO;BND;2585.315250047291;2024-05-14;DataTrans_1.csv;14-05-24
