Client;Country;Currency;Transaction;Date;SourceFile;SourceFolder
GLLNZ;NEW ZEALAND;HNL;47943.30514896638;2024-07-26;DataTrans_1.csv;26-07-24
GLLNZ;MADAGASCAR;CRC;1911536.889765849;2024-07-26;DataTrans_1.csv;26-07-24
DLZZa;HAITI;GBP;1051.225688991711;2024-07-26;DataTrans_1.csv;26-07-24
DLZZa;LAO PEOPLE'S DEMOCRATIC REP;SGD;2938.331405603774;2024-07-26;DataTrans_1.csv;26-07-24
DLZZa;PHILIPPINES;VES;102.3002747772416;2024-07-26;DataTrans_1.csv;26-07-24
DLZZa;CYPRUS;VUV;98359.30590453968;2024-07-26;DataTrans_1.csv;26-07-24
DLZZa;KAZAKHSTAN;LVL;1039.468903479716;2024-07-26;DataTrans_1.csv;26-07-24
DLZZa;CANADA;ALL;196020.1940273951;2024-07-26;DataTrans_1.csv;26-07-24
DLZZa;MALAYSIA;CVE;34428.28659478228;2024-07-26;DataTrans_1.csv;26-07-24
DLZZa;SAUDI ARABIA;RON;6851.491225598563;2024-07-26;DataTrans_1.csv;26-07-24
DLZZa;MALAWI;RSD;164064.4672266282;2024-07-26;DataTrans_1.csv;26-07-24
DLZZa;MALDIVES;IDR;12581520.19157698;2024-07-26;DataTrans_1.csv;26-07-24
DLZZa;BAHAMAS;AWG;3653.233949694504;2024-07-26;DataTrans_1.csv;26-07-24
DLZZa;GHANA;AWG;2176.799484834785;2024-07-26;DataTrans_1.csv;26-07-24
DLZZa;MYANMAR;BZD;19.928626949468;2024-07-26;DataTrans_1.csv;26-07-24
CXWac;NETHERLANDS ANTILLES;ZWL;5198287.358343087;2024-07-26;DataTrans_1.csv;26-07-24
CFMMN;SRI LANKA;BHD;9.35148181106315;2024-07-26;DataTrans_1.csv;26-07-24
CFMMN;YEMEN;FJD;693.5483211855496;2024-07-26;DataTrans_1.csv;26-07-24
CFMMN;SEYCHELLES;AOA;333701.431888913;2024-07-26;DataTrans_1.csv;26-07-24
CFMMN;NETHERLANDS ANTILLES;DKK;29467.05111084524;2024-07-26;DataTrans_1.csv;26-07-24
CFMMN;GAMBIA;SCR;63876.53353618051;2024-07-26;DataTrans_1.csv;26-07-24
CFMMN;DJIBOUTI;MYR;13902.78430121168;2024-07-26;DataTrans_1.csv;26-07-24
CFMMN;KOREA, REPUBLIC OF;KES;195329.2124144082;2024-07-26;DataTrans_1.csv;26-07-24
CFMMN;FIJI;NGN;1945613.577857895;2024-07-26;DataTrans_1.csv;26-07-24
CFMMN;BAHRAIN;CLP;1807363.560969262;2024-07-26;DataTrans_1.csv;26-07-24
CFMMN;TOGO;UAH;79616.09396557258;2024-07-26;DataTrans_1.csv;26-07-24
CFMMN;DOMINICAN REPUBLIC;GYD;362384.4567691576;2024-07-26;DataTrans_1.csv;26-07-24
CFMMN;UNITED ARAB EMIRATES;ALL;415836.0940551672;2024-07-26;DataTrans_1.csv;26-07-24
CFMMN;ALGERIA;TOP;8600.517791635806;2024-07-26;DataTrans_1.csv;26-07-24
