Client;Country;Currency;Transaction;Date;SourceFile;SourceFolder
FILVY;VANUATU;BOB;8769.726814243826;2024-10-12;DataTrans_1.csv;12-10-24
FILVY;SOMALIA;IQD;5510791.108044147;2024-10-12;DataTrans_1.csv;12-10-24
FILVY;LATVIA;UGX;169291.1702393777;2024-10-12;DataTrans_1.csv;12-10-24
FILVY;DJIBOUTI;UAH;93720.8942159039;2024-10-12;DataTrans_1.csv;12-10-24
FILVY;BAHRAIN;TRY;12680.71538065521;2024-10-12;DataTrans_1.csv;12-10-24
FILVY;TONGA;QAR;696.0726199302608;2024-10-12;DataTrans_1.csv;12-10-24
FILVY;SUDAN;MMK;5243929.80061254;2024-10-12;DataTrans_1.csv;12-10-24
EGJWa;ALBANIA;MRO;1296581.906860447;2024-10-12;DataTrans_1.csv;12-10-24
EGJWa;QATAR;LAK;71697992.74201995;2024-10-12;DataTrans_1.csv;12-10-24
EGJWa;KOREA, REPUBLIC OF;AOA;2695012.905631392;2024-10-12;DataTrans_1.csv;12-10-24
EGJWa;VIET NAM;MGA;27715404.87489993;2024-10-12;DataTrans_1.csv;12-10-24
EGJWa;HONG KONG;HRK;15192.53179953732;2024-10-12;DataTrans_1.csv;12-10-24
EGJWa;ISRAEL;HRK;26150.54941665041;2024-10-12;DataTrans_1.csv;12-10-24
EGJWa;ISRAEL;ZAR;37536.36986737264;2024-10-12;DataTrans_1.csv;12-10-24
EGJWa;EL SALVADOR;GYD;1909805.949543644;2024-10-12;DataTrans_1.csv;12-10-24
EGJWa;GUYANA;YER;2852791.112122464;2024-10-12;DataTrans_1.csv;12-10-24
EGJWa;ISRAEL;HUF;2172537.416540814;2024-10-12;DataTrans_1.csv;12-10-24
EGJWa;IRAN (ISLAMIC REPUBLIC OF);SOS;276202.4672712541;2024-10-12;DataTrans_1.csv;12-10-24
EGJWa;OMAN;ETB;585948.7983814909;2024-10-12;DataTrans_1.csv;12-10-24
EGJWa;BERMUDA;MYR;43174.289717368;2024-10-12;DataTrans_1.csv;12-10-24
EGJWa;CYPRUS;BBD;15733.0971030386;2024-10-12;DataTrans_1.csv;12-10-24
ILXZ1;GUATEMALA;CVE;26566.04379770384;2024-10-12;DataTrans_1.csv;12-10-24
CEFJW;FIJI;PLN;920.7635694383956;2024-10-12;DataTrans_1.csv;12-10-24
CEFJW;LEBANON;TND;4491.2567922125;2024-10-12;DataTrans_1.csv;12-10-24
CEFJW;TUNISIA;ILS;7690.019750805332;2024-10-12;DataTrans_1.csv;12-10-24
CEFJW;MOZAMBIQUE;SYP;1400130.444073869;2024-10-12;DataTrans_1.csv;12-10-24
EIJYb;NETHERLANDS ANTILLES;RSD;266832.7376698347;2024-10-12;DataTrans_1.csv;12-10-24
EIJYb;ICELAND;MZN;402451.6205214259;2024-10-12;DataTrans_1.csv;12-10-24
EIJYb;UNITED KINGDOM;VND;54182837.95580034;2024-10-12;DataTrans_1.csv;12-10-24
EIJYb;MAURITANIA;MWK;4456890.365734557;2024-10-12;DataTrans_1.csv;12-10-24
EIJYb;FIJI;ILS;10877.82747275103;2024-10-12;DataTrans_1.csv;12-10-24
EIJYb;GUYANA;AOA;1148888.776123333;2024-10-12;DataTrans_1.csv;12-10-24
EIJYb;TONGA;BGN;12814.82604782304;2024-10-12;DataTrans_1.csv;12-10-24
EIJYb;ARUBA;NIO;24557.4715091563;2024-10-12;DataTrans_1.csv;12-10-24
EIJYb;EGYPT;SYP;1719217.805478259;2024-10-12;DataTrans_1.csv;12-10-24
EIJYb;POLAND;MZN;206775.5001767927;2024-10-12;DataTrans_1.csv;12-10-24
EIJYb;BURUNDI;RON;18840.47679108247;2024-10-12;DataTrans_1.csv;12-10-24
EIJYb;SWEDEN;OMR;371.7731198615612;2024-10-12;DataTrans_1.csv;12-10-24
EIJYb;CYPRUS;SAR;2253.832641897063;2024-10-12;DataTrans_1.csv;12-10-24
GHY13;PAKISTAN;NIO;174278.6610470694;2024-10-12;DataTrans_1.csv;12-10-24
CFJJN;ETHIOPIA;GYD;257380.3916632223;2024-10-12;DataTrans_1.csv;12-10-24
CFJJN;KUWAIT;BOB;21244.23286884434;2024-10-12;DataTrans_1.csv;12-10-24
CFJJN;LEBANON;PAB;1345.304498202677;2024-10-12;DataTrans_1.csv;12-10-24
CFJJN;ARGENTINA;CNY;10479.11720663861;2024-10-12;DataTrans_1.csv;12-10-24
CFJJN;ROMANIA;DOP;171936.5692584184;2024-10-12;DataTrans_1.csv;12-10-24
CFJJN;MALDIVES;EUR;2859.181784206595;2024-10-12;DataTrans_1.csv;12-10-24
CFJJN;MYANMAR;UAH;93737.1876298072;2024-10-12;DataTrans_1.csv;12-10-24
CFJJN;SURINAME;NOK;4471.047630644573;2024-10-12;DataTrans_1.csv;12-10-24
CFJJN;KOREA, REPUBLIC OF;KES;126287.6841687322;2024-10-12;DataTrans_1.csv;12-10-24
CFJJN;KAZAKHSTAN;TRY;48903.86425931284;2024-10-12;DataTrans_1.csv;12-10-24
